.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x34_affmot_eat,x35_int_eat,x37_plan_eat,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x30_affmot_sed,x31_int_sed,x32_plan_sed,x55_engage
punctuatelandingdeferred@timestudy_com/2020-08-19/phone_promptresponse_clean_2020-08-19.csv,11,punctuatelandingdeferred,Daily,TIME,RANDOM,20,21,2020-08-19,2020-08-19 20:11:00 PDT,GMT-07:00,1597893060118,Completed,2020-08-19,2020-08-19 20:14:43 PDT,1597893283213,1,set_1,24,9,Not at all,Moderately,A little,Quite a bit,Quite a bit,Not at all,A little,Not at all,A little,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,No,Did not have to work today,0,Very much so,Might,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
punctuatelandingdeferred@timestudy_com/2020-08-20/phone_promptresponse_clean_2020-08-20.csv,20,punctuatelandingdeferred,Daily,TIME,RANDOM,20,21,2020-08-20,2020-08-20 20:49:00 PDT,GMT-07:00,1597981740122,Completed,2020-08-20,2020-08-20 20:51:24 PDT,1597981884681,1,set_2,23,9,Not at all,Quite a bit,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,A little,Not at all,Very much so,No,Did not have to work today,0,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,
punctuatelandingdeferred@timestudy_com/2020-08-21/phone_promptresponse_clean_2020-08-21.csv,21,punctuatelandingdeferred,Daily,TIME,RANDOM,20,21,2020-08-21,2020-08-21 20:46:00 PDT,GMT-07:00,1598067960131,Completed,2020-08-21,2020-08-21 20:47:50 PDT,1598068070628,1,set_1,24,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,A little,A little,Not at all,A little,Moderately,Not at all,A little,A little,Very much so,No,Did not have to work today,0,Quite a bit,Probably will,Not really,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
punctuatelandingdeferred@timestudy_com/2020-08-22/phone_promptresponse_clean_2020-08-22.csv,21,punctuatelandingdeferred,Daily,BURST,RANDOM,21,22,2020-08-22,2020-08-22 21:11:00 PDT,GMT-07:00,1598155860100,Completed,2020-08-22,2020-08-22 21:13:10 PDT,1598155990345,1,set_4,23,9,Not at all,Quite a bit,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,Moderately,Moderately,Very much so,No,Did not have to work today,0,,,,,,,,Very much so,Definitely will,Sort of,,,,,,,,,,,,,,,,,,,,
punctuatelandingdeferred@timestudy_com/2020-08-23/phone_promptresponse_clean_2020-08-23.csv,21,punctuatelandingdeferred,Daily,BURST,RANDOM,20,21,2020-08-23,2020-08-23 20:45:00 PDT,GMT-07:00,1598240700204,Completed,2020-08-23,2020-08-23 20:52:52 PDT,1598241172436,2,set_2,47,9,Not at all,Moderately,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Moderately,A little,A little,Very much so,No,Did not have to work today,0,,,,,Very much so,Definitely will,Yes,,,,Sort of,No,Not really,Yes,Sort of,Yes,Not at all,Moderately,I am not experiencing viral symptoms,0 days,0 days,More,Neither more nor less,More,Not at all,Not at all,,,,
punctuatelandingdeferred@timestudy_com/2020-08-24/phone_promptresponse_clean_2020-08-24.csv,22,punctuatelandingdeferred,Daily,BURST,RANDOM,20,21,2020-08-24,2020-08-24 20:47:00 PDT,GMT-07:00,1598327220121,Completed,2020-08-24,2020-08-24 20:49:29 PDT,1598327369325,1,set_1,24,9,Not at all,Moderately,A little,Moderately,Quite a bit,Not at all,A little,Not at all,A little,Quite a bit,A little,A little,Not at all,Very much so,No,Did not have to work today,0,Quite a bit,Might,Not really,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
punctuatelandingdeferred@timestudy_com/2020-08-25/phone_promptresponse_clean_2020-08-25.csv,22,punctuatelandingdeferred,Daily,BURST,RANDOM,21,22,2020-08-25,2020-08-25 21:11:00 PDT,GMT-07:00,1598415060140,Completed,2020-08-25,2020-08-25 21:16:37 PDT,1598415397169,2,set_2,23,9,Not at all,Moderately,Moderately,Moderately,Quite a bit,Not at all,A little,Not at all,A little,Quite a bit,Quite a bit,A little,Not at all,Very much so,No,Did not have to work today,0,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,
punctuatelandingdeferred@timestudy_com/2020-08-26/phone_promptresponse_clean_2020-08-26.csv,22,punctuatelandingdeferred,Daily,TIME,RANDOM,21,22,2020-08-26,2020-08-26 21:24:00 PDT,GMT-07:00,1598502240092,Completed,2020-08-26,2020-08-26 21:27:44 PDT,1598502464535,1,set_4,23,9,Not at all,Moderately,A little,Moderately,Quite a bit,Moderately,A little,Not at all,Quite a bit,Quite a bit,Quite a bit,Not at all,A little,Very much so,No,No,0,,,,,,,,Very much so,Definitely will,Sort of,,,,,,,,,,,,,,,,,,,,
punctuatelandingdeferred@timestudy_com/2020-08-27/phone_promptresponse_clean_2020-08-27.csv,20,punctuatelandingdeferred,Daily,TIME,RANDOM,20,21,2020-08-27,2020-08-27 20:31:00 PDT,GMT-07:00,1598585460131,Completed,2020-08-27,2020-08-27 20:55:19 PDT,1598586919314,2,set_4,23,9,Not at all,Quite a bit,Moderately,Moderately,Quite a bit,A little,A little,Not at all,Not at all,Moderately,Quite a bit,A little,A little,Very much so,No,Did not have to work today,0,,,,,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,
punctuatelandingdeferred@timestudy_com/2020-08-28/phone_promptresponse_clean_2020-08-28.csv,22,punctuatelandingdeferred,Daily,TIME,RANDOM,21,22,2020-08-28,2020-08-28 21:11:00 PDT,GMT-07:00,1598674260122,Completed,2020-08-28,2020-08-28 21:13:00 PDT,1598674380555,1,set_1,24,9,Not at all,Quite a bit,Moderately,Moderately,Quite a bit,Not at all,Not at all,Not at all,A little,Very much so,Moderately,Not at all,Not at all,Very much so,No,No,0,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
