.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x30_affmot_sed,x31_int_sed,x32_plan_sed,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x55_engage,x34_affmot_eat,x35_int_eat,x37_plan_eat
unraveledlitterpowerably@timestudy_com/2021-08-06/phone_promptresponse_clean_2021-08-06.csv,5,unraveledlitterpowerably,Daily,TIME,RANDOM,18,19,2021-08-06,2021-08-06 18:47:01 CDT,GMT-05:00,1628293621051,Completed,2021-08-06,2021-08-06 19:14:22 CDT,1628295262020,2,set_3,23,9,Moderately,A little,Quite a bit,Moderately,Moderately,Quite a bit,Quite a bit,Not at all,Not at all,Moderately,Quite a bit,Quite a bit,A little,A little,Yes,Did not have to work today,0,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
unraveledlitterpowerably@timestudy_com/2021-08-07/phone_promptresponse_clean_2021-08-07.csv,25,unraveledlitterpowerably,Daily,TIME,RANDOM,18,19,2021-08-07,2021-08-07 18:41:00 CDT,GMT-05:00,1628379660148,Completed,2021-08-07,2021-08-07 19:04:53 CDT,1628381093962,2,set_1,24,9,A little,Moderately,Moderately,A little,Moderately,Moderately,Quite a bit,Not at all,Not at all,Not at all,Moderately,A little,A little,A little,Yes,Did not have to work today,0,,,,Not at all,Probably will not,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,
unraveledlitterpowerably@timestudy_com/2021-08-08/phone_promptresponse_clean_2021-08-08.csv,18,unraveledlitterpowerably,Daily,TIME,RANDOM,18,19,2021-08-08,2021-08-08 18:35:00 CDT,GMT-05:00,1628465700153,Completed,2021-08-08,2021-08-08 18:42:10 CDT,1628466130051,2,set_2,47,9,A little,Quite a bit,Quite a bit,Not at all,A little,Moderately,Moderately,Not at all,Not at all,A little,Quite a bit,Not at all,A little,A little,Yes,Did not have to work today,0,,,,,,,,Sort of,Maybe,Not at all,Probably will,Yes,Sort of,but had a goal,Sort of,Yes,Not at all,Moderately,I am currently experiencing mild-moderate viral symptoms,2 days,1 day,A lot less,Neither more nor less,Less,Moderate,Moderate,,,,
unraveledlitterpowerably@timestudy_com/2021-08-09/phone_promptresponse_clean_2021-08-09.csv,19,unraveledlitterpowerably,Daily,TIME,RANDOM,18,19,2021-08-09,2021-08-09 18:30:01 CDT,GMT-05:00,1628551801285,Completed,2021-08-09,2021-08-09 18:31:58 CDT,1628551918940,1,set_3,23,9,A little,Moderately,Moderately,A little,A little,Quite a bit,Quite a bit,Not at all,Not at all,A little,Moderately,Not at all,Not at all,Moderately,Yes,Did not have to work today,0,Very much so,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
unraveledlitterpowerably@timestudy_com/2021-08-10/phone_promptresponse_clean_2021-08-10.csv,19,unraveledlitterpowerably,Daily,TIME,RANDOM,18,19,2021-08-10,2021-08-10 18:49:00 CDT,GMT-05:00,1628639340890,Completed,2021-08-10,2021-08-10 18:56:14 CDT,1628639774020,2,set_2,25,9,Not at all,Moderately,Moderately,Quite a bit,A little,A little,A little,Not at all,Not at all,Moderately,Quite a bit,Not at all,Moderately,A little,Yes,Yes,0,,,,,,,,,,Quite a bit,Probably will,Yes,,,,,,,,,,,,,,,Not at all,,,
unraveledlitterpowerably@timestudy_com/2021-08-11/phone_promptresponse_clean_2021-08-11.csv,19,unraveledlitterpowerably,Daily,TIME,RANDOM,18,19,2021-08-11,2021-08-11 18:13:00 CDT,GMT-05:00,1628723580254,Completed,2021-08-11,2021-08-11 19:50:51 CDT,1628729451999,2,set_3,23,9,A little,Quite a bit,A little,Moderately,Moderately,A little,A little,Not at all,Not at all,A little,Quite a bit,A little,Moderately,A little,Yes,Yes,0,Quite a bit,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
unraveledlitterpowerably@timestudy_com/2021-08-12/phone_promptresponse_clean_2021-08-12.csv,19,unraveledlitterpowerably,Daily,TIME,RANDOM,18,19,2021-08-12,2021-08-12 18:43:00 CDT,GMT-05:00,1628811780175,Completed,2021-08-12,2021-08-12 18:44:30 CDT,1628811870541,1,set_3,23,9,Not at all,Moderately,Moderately,A little,A little,A little,A little,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,A little,Yes,Yes,0,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
unraveledlitterpowerably@timestudy_com/2021-08-13/phone_promptresponse_clean_2021-08-13.csv,19,unraveledlitterpowerably,Daily,BURST,RANDOM,18,19,2021-08-13,2021-08-13 18:18:00 CDT,GMT-05:00,1628896680160,Completed,2021-08-13,2021-08-13 18:19:36 CDT,1628896776929,1,set_3,23,9,Not at all,Moderately,Moderately,A little,A little,A little,Moderately,Not at all,Not at all,A little,Moderately,Not at all,Not at all,Moderately,Not sure,Did not have to work today,0,Very much so,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
unraveledlitterpowerably@timestudy_com/2021-08-14/phone_promptresponse_clean_2021-08-14.csv,18,unraveledlitterpowerably,Daily,BURST,RANDOM,17,18,2021-08-14,2021-08-14 17:39:00 CDT,GMT-05:00,1628980740191,Completed,2021-08-14,2021-08-14 17:50:43 CDT,1628981443220,2,set_1,25,9,A little,A little,A little,A little,A little,Moderately,A little,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Quite a bit,Yes,Did not have to work today,0,,,,A little,Probably will,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,,A little bit,,,
unraveledlitterpowerably@timestudy_com/2021-08-15/phone_promptresponse_clean_2021-08-15.csv,18,unraveledlitterpowerably,Daily,BURST,RANDOM,17,18,2021-08-15,2021-08-15 17:32:26 CDT,GMT-05:00,1629066746194,Completed,2021-08-15,2021-08-15 17:43:52 CDT,1629067432776,2,set_3,47,9,Not at all,Quite a bit,A little,A little,Moderately,A little,A little,Quite a bit,Not at all,A little,Quite a bit,Not at all,Not at all,Moderately,Not sure,Yes,0,Quite a bit,Probably will,Sort of,,,,,Not really,No and I didn't have a goal,,,,No,but had a goal,Sort of,Yes,Moderately,A little,I am not experiencing viral symptoms,2 days,0 days,Less,A lot more,Less,Moderate,Moderate,,,,
