.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x30_affmot_sed,x34_affmot_eat,x35_int_eat,x37_plan_eat,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x33_goal_sed,x36_goal_eat,x29_wgoal_sleep,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x31_int_sed,x32_plan_sed,x38_covid_lonely,x39_covid_health,x40_viralsymp,x55_engage
sharpnessnextpouch@timestudy_com/2020-03-17/phone_promptresponse_clean_2020-03-17.csv,6,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-03-17,2020-03-17 21:42:00 PDT,GMT-07:00,1584506520169,Completed,2020-03-17,2020-03-17 21:45:29 PDT,1584506729961,1,set_1,25,6,A little,Extremely,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,A little,No,Did not have to work today,0,Very much so,Definitely will,Sort of,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-18/phone_promptresponse_clean_2020-03-18.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-03-18,2020-03-18 21:33:00 PDT,GMT-07:00,1584592380110,Completed,2020-03-18,2020-03-18 21:35:03 PDT,1584592503869,1,set_3,22,6,Not at all,Extremely,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,A little,Very much so,No,Did not have to work today,0,,,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-19/phone_promptresponse_clean_2020-03-19.csv,22,sharpnessnextpouch,Daily,BURST,RANDOM,21,22,2020-03-19,2020-03-19 21:38:00 PDT,GMT-07:00,1584679080126,Completed,2020-03-19,2020-03-19 21:40:05 PDT,1584679205448,1,set_1,25,6,Not at all,Extremely,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Quite a bit,A little,A little,Quite a bit,No,Did not have to work today,0,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-20/phone_promptresponse_clean_2020-03-20.csv,21,sharpnessnextpouch,Daily,BURST,RANDOM,21,22,2020-03-20,2020-03-20 21:42:00 PDT,GMT-07:00,1584765720065,Completed,2020-03-20,2020-03-20 21:43:28 PDT,1584765808073,1,set_4,24,6,Not at all,Extremely,Not at all,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Quite a bit,A little,A little,Quite a bit,No,Did not have to work today,0,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-21/phone_promptresponse_clean_2020-03-21.csv,22,sharpnessnextpouch,Daily,BURST,RANDOM,21,22,2020-03-21,2020-03-21 21:37:00 PDT,GMT-07:00,1584851820122,Completed,2020-03-21,2020-03-21 21:39:00 PDT,1584851940166,1,set_2,24,6,A little,Quite a bit,A little,Extremely,Quite a bit,A little,A little,A little,Not at all,Very much so,Very much so,Not at all,A little,A little,No,Did not have to work today,0,,,,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-22/phone_promptresponse_clean_2020-03-22.csv,22,sharpnessnextpouch,Daily,BURST,RANDOM,21,22,2020-03-22,2020-03-22 21:44:00 PDT,GMT-07:00,1584938640111,Completed,2020-03-22,2020-03-22 21:46:25 PDT,1584938785149,1,set_2,30,6,A little,Extremely,A little,Extremely,Quite a bit,A little,A little,Not at all,Not at all,Very much so,Very much so,Not at all,A little,Quite a bit,No,Did not have to work today,0,,,,,,,,,Very much so,Definitely will,Trying to decide,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-23/phone_promptresponse_clean_2020-03-23.csv,21,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-03-23,2020-03-23 21:46:00 PDT,GMT-07:00,1585025160123,Completed,2020-03-23,2020-03-23 21:55:42 PDT,1585025742105,2,set_1,25,6,Not at all,Extremely,A little,Quite a bit,Quite a bit,A little,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,Quite a bit,No,No,0,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-24/phone_promptresponse_clean_2020-03-24.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-03-24,2020-03-24 21:35:00 PDT,GMT-07:00,1585110900113,Completed,2020-03-24,2020-03-24 21:37:34 PDT,1585111054657,1,set_2,24,6,A little,Quite a bit,A little,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,A little,Very much so,No,Did not have to work today,0,,,,,,,,,A little,Definitely will,Trying to decide,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-25/phone_promptresponse_clean_2020-03-25.csv,22,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-03-25,2020-03-25 21:34:00 PDT,GMT-07:00,1585197240119,Completed,2020-03-25,2020-03-25 21:35:58 PDT,1585197358050,1,set_1,25,6,A little,Quite a bit,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,Not at all,Quite a bit,No,No,0,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
sharpnessnextpouch@timestudy_com/2020-03-26/phone_promptresponse_clean_2020-03-26.csv,21,sharpnessnextpouch,Daily,TIME,RANDOM,21,22,2020-03-26,2020-03-26 21:23:00 PDT,GMT-07:00,1585282980092,Completed,2020-03-26,2020-03-26 21:24:19 PDT,1585283059404,1,set_3,22,6,A little,Quite a bit,Not at all,Extremely,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,A little,Moderately,No,Did not have to work today,0,,,,,Very much so,,,,,,,,,,,,,,,,,,,,,,,,,
