.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x34_affmot_eat,x35_int_eat,x37_plan_eat,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x30_affmot_sed,x31_int_sed,x32_plan_sed,x38_covid_lonely,x39_covid_health,x40_viralsymp,x55_engage
bannisterhardwiredladle@timestudy_com/2020-07-15/phone_promptresponse_clean_2020-07-15.csv,23,bannisterhardwiredladle,Daily,TIME,RANDOM,23,0,2020-07-15,2020-07-15 23:16:40 CDT,GMT-05:00,1594873000839,Completed,2020-07-15,2020-07-15 23:18:19 CDT,1594873099255,1,set_2,24,8,A little,Quite a bit,Quite a bit,Moderately,A little,Moderately,Extremely,A little,Quite a bit,Quite a bit,Moderately,A little,Not at all,Not at all,No,Did not have to work today,0,Quite a bit,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
bannisterhardwiredladle@timestudy_com/2020-07-17/phone_promptresponse_clean_2020-07-17.csv,1,bannisterhardwiredladle,Daily,TIME,RANDOM,23,0,2020-07-16,2020-07-16 23:38:00 CDT,GMT-05:00,1594960680121,Completed,2020-07-17,2020-07-17 00:13:14 CDT,1594962794937,2,set_4,24,8,A little,Quite a bit,Moderately,A little,Moderately,A little,A little,A little,Moderately,A little,A little,A little,Quite a bit,Moderately,No,Did not have to work today,0,,,,Very much so,Probably will,Not really,,,,,,,,,,,,,,,,,,,,,,,,
bannisterhardwiredladle@timestudy_com/2020-07-18/phone_promptresponse_clean_2020-07-18.csv,1,bannisterhardwiredladle,Daily,TIME,RANDOM,0,1,2020-07-18,2020-07-18 00:34:00 CDT,GMT-05:00,1595050440170,Completed,2020-07-18,2020-07-18 00:35:56 CDT,1595050556854,1,set_4,24,8,A little,Extremely,Moderately,A little,Quite a bit,A little,Moderately,Moderately,A little,A little,Moderately,Not at all,A little,Moderately,No,Did not have to work today,0,,,,Quite a bit,Might,Not really,,,,,,,,,,,,,,,,,,,,,,,,
bannisterhardwiredladle@timestudy_com/2020-07-19/phone_promptresponse_clean_2020-07-19.csv,2,bannisterhardwiredladle,Daily,BURST,RANDOM,1,2,2020-07-19,2020-07-19 01:10:00 CDT,GMT-05:00,1595139000098,Completed,2020-07-19,2020-07-19 01:21:36 CDT,1595139696849,2,set_2,47,8,A little,Extremely,A little,Quite a bit,Moderately,A little,A little,A little,A little,Moderately,Not at all,Moderately,A little,Not at all,No,Did not have to work today,0,A little,Might,Trying to decide,,,,Not really,No and I didn't have a goal,Sort of,but had a goal,Not really,No,0 days,0 days,More,Less,A lot less,Quite a bit,Very little,,,,,,,,,,,
bannisterhardwiredladle@timestudy_com/2020-07-20/phone_promptresponse_clean_2020-07-20.csv,1,bannisterhardwiredladle,Daily,BURST,RANDOM,0,1,2020-07-20,2020-07-20 00:24:00 CDT,GMT-05:00,1595222640119,Completed,2020-07-20,2020-07-20 01:31:54 CDT,1595226714912,2,set_2,24,8,A little,Extremely,Moderately,A little,Quite a bit,A little,A little,Not at all,A little,Moderately,Moderately,Moderately,Moderately,Moderately,No,Did not have to work today,0,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
bannisterhardwiredladle@timestudy_com/2020-07-20/phone_promptresponse_clean_2020-07-20.csv,24,bannisterhardwiredladle,Daily,BURST,RANDOM,23,0,2020-07-20,2020-07-20 23:39:00 CDT,GMT-05:00,1595306340070,Completed,2020-07-20,2020-07-20 23:45:01 CDT,1595306701545,2,set_2,24,8,A little,Quite a bit,A little,A little,Moderately,A little,A little,Moderately,A little,Moderately,Moderately,A little,Moderately,Moderately,No,Did not have to work today,0,Quite a bit,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
bannisterhardwiredladle@timestudy_com/2020-07-22/phone_promptresponse_clean_2020-07-22.csv,1,bannisterhardwiredladle,Daily,BURST,RANDOM,0,1,2020-07-22,2020-07-22 00:12:00 CDT,GMT-05:00,1595394720125,Completed,2020-07-22,2020-07-22 00:13:31 CDT,1595394811559,1,set_1,25,8,Quite a bit,A little,A little,Not at all,A little,A little,A little,Quite a bit,A little,Moderately,A little,Moderately,Moderately,Moderately,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,A little,Probably will not,Not really,but I had a goal,,,,,,,
bannisterhardwiredladle@timestudy_com/2020-07-23/phone_promptresponse_clean_2020-07-23.csv,1,bannisterhardwiredladle,Daily,TIME,RANDOM,0,1,2020-07-23,2020-07-23 00:24:00 CDT,GMT-05:00,1595481840099,Completed,2020-07-23,2020-07-23 00:25:20 CDT,1595481920916,1,set_4,24,8,A little,Quite a bit,A little,A little,A little,A little,Moderately,A little,A little,A little,A little,Moderately,Moderately,Moderately,No,Did not have to work today,0,,,,A little,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,
bannisterhardwiredladle@timestudy_com/2020-07-24/phone_promptresponse_clean_2020-07-24.csv,2,bannisterhardwiredladle,Daily,TIME,RANDOM,1,2,2020-07-24,2020-07-24 01:36:00 CDT,GMT-05:00,1595572560108,Completed,2020-07-24,2020-07-24 01:42:49 CDT,1595572969919,2,set_3,24,9,A little,Quite a bit,A little,A little,Moderately,A little,A little,Not at all,A little,Moderately,Moderately,Moderately,A little,Moderately,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will not,Not really,,,,
bannisterhardwiredladle@timestudy_com/2020-07-25/phone_promptresponse_clean_2020-07-25.csv,1,bannisterhardwiredladle,Daily,TIME,RANDOM,0,1,2020-07-25,2020-07-25 00:40:00 CDT,GMT-05:00,1595655600070,Completed,2020-07-25,2020-07-25 00:41:27 CDT,1595655687550,1,set_1,25,9,Not at all,Moderately,A little,A little,A little,A little,A little,A little,A little,A little,Moderately,Moderately,Moderately,Quite a bit,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,A little,Probably will not,Not really,but I had a goal,,,,,,,
