.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x34_affmot_eat,x35_int_eat,x37_plan_eat,x30_affmot_sed,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x31_int_sed,x32_plan_sed,x38_covid_lonely,x39_covid_health,x40_viralsymp,x55_engage
debatableuneasyeveryone@timestudy_com/2020-06-24/phone_promptresponse_clean_2020-06-24.csv,4,debatableuneasyeveryone,Daily,TIME,RANDOM,22,23,2020-06-24,2020-06-24 22:40:00 PDT,GMT-07:00,1593063600062,Completed,2020-06-24,2020-06-24 22:42:06 PDT,1593063726864,1,set_4,24,8,Not at all,Quite a bit,Quite a bit,Quite a bit,Moderately,Not at all,A little,A little,Not at all,Moderately,A little,A little,Not at all,Moderately,No,No,0,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
debatableuneasyeveryone@timestudy_com/2020-06-25/phone_promptresponse_clean_2020-06-25.csv,24,debatableuneasyeveryone,Daily,BURST,RANDOM,22,23,2020-06-25,2020-06-25 22:44:00 PDT,GMT-07:00,1593150240127,Completed,2020-06-25,2020-06-25 22:50:18 PDT,1593150618956,2,set_3,22,8,Not at all,Not at all,Quite a bit,Extremely,Moderately,Not at all,Not at all,Not at all,Not at all,Moderately,Moderately,Not at all,Not at all,Very much so,No,No,0,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,
debatableuneasyeveryone@timestudy_com/2020-06-26/phone_promptresponse_clean_2020-06-26.csv,21,debatableuneasyeveryone,Daily,BURST,RANDOM,22,23,2020-06-26,2020-06-26 22:49:00 PDT,GMT-07:00,1593236940102,Completed,2020-06-26,2020-06-26 22:50:41 PDT,1593237041447,1,set_4,24,8,Not at all,Quite a bit,Quite a bit,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,No,No,0,Quite a bit,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
debatableuneasyeveryone@timestudy_com/2020-06-27/phone_promptresponse_clean_2020-06-27.csv,22,debatableuneasyeveryone,Daily,BURST,RANDOM,22,23,2020-06-27,2020-06-27 22:44:00 PDT,GMT-07:00,1593323040063,Completed,2020-06-27,2020-06-27 22:45:42 PDT,1593323142339,1,set_2,24,8,A little,Quite a bit,Quite a bit,Moderately,Quite a bit,A little,A little,Not at all,Not at all,A little,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,
debatableuneasyeveryone@timestudy_com/2020-06-28/phone_promptresponse_clean_2020-06-28.csv,23,debatableuneasyeveryone,Daily,BURST,RANDOM,22,23,2020-06-28,2020-06-28 22:44:00 PDT,GMT-07:00,1593409440126,Completed,2020-06-28,2020-06-28 22:53:47 PDT,1593410027920,2,set_3,45,8,Not at all,Moderately,Moderately,Not at all,Moderately,Not at all,Not at all,Not at all,Not at all,A little,Moderately,A little,Moderately,Moderately,No,Did not have to work today,0,,,,Quite a bit,,,,Not really,Maybe,Yes,but had a goal,Not really,Not really,0 days,1 day,Less,A lot less,Neither more nor less,Very little,Very little,,,,,,,,,,
debatableuneasyeveryone@timestudy_com/2020-06-29/phone_promptresponse_clean_2020-06-29.csv,23,debatableuneasyeveryone,Daily,TIME,RANDOM,22,23,2020-06-29,2020-06-29 22:21:00 PDT,GMT-07:00,1593494460128,Completed,2020-06-29,2020-06-29 22:24:56 PDT,1593494696265,1,set_4,24,8,A little,Quite a bit,Moderately,Moderately,Moderately,Not at all,Not at all,Not at all,A little,A little,A little,Not at all,A little,Moderately,No,No,0,Quite a bit,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
debatableuneasyeveryone@timestudy_com/2020-06-30/phone_promptresponse_clean_2020-06-30.csv,22,debatableuneasyeveryone,Daily,TIME,RANDOM,21,22,2020-06-30,2020-06-30 21:16:00 PDT,GMT-07:00,1593576960072,Completed,2020-06-30,2020-06-30 21:17:29 PDT,1593577049484,1,set_1,25,8,Moderately,A little,A little,Moderately,A little,Not at all,A little,A little,A little,Moderately,Not at all,Quite a bit,Not at all,Quite a bit,No,Yes,0,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Not really,but I had a goal,,,,,,
debatableuneasyeveryone@timestudy_com/2020-07-01/phone_promptresponse_clean_2020-07-01.csv,23,debatableuneasyeveryone,Daily,TIME,RANDOM,22,23,2020-07-01,2020-07-01 22:39:00 PDT,GMT-07:00,1593668340068,Completed,2020-07-01,2020-07-01 22:40:52 PDT,1593668452922,1,set_1,25,8,A little,A little,A little,A little,A little,Not at all,Not at all,Moderately,Not at all,Not at all,Not at all,Not at all,Not at all,A little,No,Yes,0,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Not really,Maybe,,,,,,
debatableuneasyeveryone@timestudy_com/2020-07-02/phone_promptresponse_clean_2020-07-02.csv,24,debatableuneasyeveryone,Daily,TIME,RANDOM,23,0,2020-07-02,2020-07-02 23:15:00 PDT,GMT-07:00,1593756900141,Completed,2020-07-02,2020-07-02 23:39:17 PDT,1593758357329,2,set_4,24,8,Quite a bit,Moderately,Quite a bit,Not at all,A little,Not at all,Moderately,Quite a bit,Not at all,A little,Not at all,A little,Quite a bit,Moderately,Yes,Yes,0,Not at all,Definitely will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
debatableuneasyeveryone@timestudy_com/2020-07-03/phone_promptresponse_clean_2020-07-03.csv,18,debatableuneasyeveryone,Daily,TIME,RANDOM,22,23,2020-07-03,2020-07-03 22:32:00 PDT,GMT-07:00,1593840720104,Completed,2020-07-03,2020-07-03 22:33:04 PDT,1593840784685,1,set_1,25,8,A little,Quite a bit,Not at all,Moderately,A little,A little,A little,A little,Not at all,A little,Not at all,Not at all,Not at all,Not at all,No,Yes,0,,,,,,,,,,,,,,,,,,,,,A little,Might,Sort of,Maybe,,,,,,
