.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage,x34_affmot_eat,x35_int_eat,x37_plan_eat,x30_affmot_sed,x31_int_sed,x32_plan_sed
sublevelcurlyhanky@timestudy_com/2021-03-19/phone_promptresponse_clean_2021-03-19.csv,1,sublevelcurlyhanky,Daily,TIME,RANDOM,19,20,2021-03-19,2021-03-19 19:24:08 CDT,GMT-05:00,1616199848399,Completed,2021-03-19,2021-03-19 19:29:55 CDT,1616200195973,2,set_1,26,9,A little,A little,A little,Not at all,A little,Not at all,A little,A little,Not at all,Not at all,Not at all,A little,Moderately,A little,No,No,0,Not at all,Definitely will not,No,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
sublevelcurlyhanky@timestudy_com/2021-03-20/phone_promptresponse_clean_2021-03-20.csv,22,sublevelcurlyhanky,Daily,TIME,RANDOM,21,22,2021-03-20,2021-03-20 21:36:00 CDT,GMT-05:00,1616294160122,Completed,2021-03-20,2021-03-20 21:37:25 CDT,1616294245257,1,set_1,24,9,Moderately,A little,Not at all,A little,A little,Moderately,Moderately,Quite a bit,A little,Not at all,Not at all,Moderately,A little,A little,No,Did not have to work today,0,Not at all,Definitely will not,No,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
sublevelcurlyhanky@timestudy_com/2021-03-21/phone_promptresponse_clean_2021-03-21.csv,24,sublevelcurlyhanky,Daily,TIME,RANDOM,21,22,2021-03-21,2021-03-21 21:19:00 CDT,GMT-05:00,1616379540456,Completed,2021-03-21,2021-03-21 21:23:25 CDT,1616379805166,1,set_1,48,9,Quite a bit,A little,Not at all,Not at all,A little,A little,A little,Extremely,Not at all,A little,A little,Moderately,Quite a bit,A little,No,Did not have to work today,0,Not at all,Definitely will not,No,but I had a goal,No,No and I didn't have a goal,Sort of,but had a goal,Sort of,No,Quite a bit,Not at all,I am not experiencing viral symptoms,0 days,0 days,Less,A lot more,Less,Very little,Very little,,,,,,,,,,
sublevelcurlyhanky@timestudy_com/2021-03-22/phone_promptresponse_clean_2021-03-22.csv,22,sublevelcurlyhanky,Daily,TIME,RANDOM,21,22,2021-03-22,2021-03-22 21:28:00 CDT,GMT-05:00,1616466480109,Completed,2021-03-22,2021-03-22 21:29:39 CDT,1616466579275,1,set_2,24,9,A little,A little,A little,Moderately,Not at all,A little,A little,A little,A little,A little,A little,A little,A little,A little,No,No,0,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Trying to decide,Not at all,,,,,,
sublevelcurlyhanky@timestudy_com/2021-03-23/phone_promptresponse_clean_2021-03-23.csv,23,sublevelcurlyhanky,Daily,TIME,RANDOM,21,22,2021-03-23,2021-03-23 21:35:00 CDT,GMT-05:00,1616553300122,Completed,2021-03-23,2021-03-23 21:36:53 CDT,1616553413712,1,set_2,24,9,Not at all,Quite a bit,Not at all,A little,A little,A little,A little,Not at all,Not at all,A little,A little,A little,A little,A little,Yes,No,0,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Trying to decide,A little bit,,,,,,
sublevelcurlyhanky@timestudy_com/2021-03-24/phone_promptresponse_clean_2021-03-24.csv,24,sublevelcurlyhanky,Daily,TIME,RANDOM,21,22,2021-03-24,2021-03-24 21:32:00 CDT,GMT-05:00,1616639520123,Completed,2021-03-24,2021-03-24 21:33:41 CDT,1616639621801,1,set_4,23,9,A little,Quite a bit,A little,Moderately,A little,A little,A little,Not at all,Not at all,A little,A little,Moderately,Moderately,A little,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,Definitely will not,No,,,
sublevelcurlyhanky@timestudy_com/2021-03-25/phone_promptresponse_clean_2021-03-25.csv,22,sublevelcurlyhanky,Daily,TIME,RANDOM,21,22,2021-03-25,2021-03-25 21:45:00 CDT,GMT-05:00,1616726700127,Completed,2021-03-25,2021-03-25 21:46:14 CDT,1616726774959,1,set_3,23,9,Not at all,Moderately,Moderately,Not at all,A little,A little,A little,A little,A little,A little,A little,A little,A little,A little,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Sort of
sublevelcurlyhanky@timestudy_com/2021-03-26/phone_promptresponse_clean_2021-03-26.csv,25,sublevelcurlyhanky,Daily,TIME,RANDOM,21,22,2021-03-26,2021-03-26 21:32:00 CDT,GMT-05:00,1616812320095,NeverStarted,,,,,set_3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sublevelcurlyhanky@timestudy_com/2021-03-27/phone_promptresponse_clean_2021-03-27.csv,61,sublevelcurlyhanky,Daily,TIME,RANDOM,22,23,2021-03-27,2021-03-27 22:41:00 CDT,GMT-05:00,1616902860110,Completed,2021-03-27,2021-03-27 22:42:30 CDT,1616902950154,1,set_3,23,9,Not at all,Quite a bit,A little,A little,Moderately,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,A little,A little,Not at all,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will not,No
sublevelcurlyhanky@timestudy_com/2021-03-28/phone_promptresponse_clean_2021-03-28.csv,22,sublevelcurlyhanky,Daily,BURST,RANDOM,21,22,2021-03-28,2021-03-28 21:22:00 CDT,GMT-05:00,1616984520095,Completed,2021-03-28,2021-03-28 21:25:36 CDT,1616984736410,1,set_1,48,9,A little,Quite a bit,A little,A little,Moderately,A little,A little,A little,A little,Not at all,A little,Moderately,Quite a bit,A little,No,Did not have to work today,0,Not at all,Might,No,but I had a goal,Yes,No and I didn't have a goal,Sort of,but had a goal,No,No,Not at all,A little,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,More,Neither more nor less,Very little,Very little,,,,,,,,,,
