.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x34_affmot_eat,x35_int_eat,x37_plan_eat,x30_affmot_sed,x31_int_sed,x32_plan_sed,x55_engage,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa
gentlykittenthaw@timestudy_com/2020-10-14/phone_promptresponse_clean_2020-10-14.csv,6,gentlykittenthaw,Daily,TIME,RANDOM,22,23,2020-10-14,2020-10-14 22:16:00 PDT,GMT-07:00,1602738960307,Completed,2020-10-14,2020-10-14 22:21:06 PDT,1602739266344,2,set_2,23,9,Not at all,Quite a bit,A little,Moderately,Extremely,Moderately,Not at all,Not at all,Not at all,Moderately,Quite a bit,A little,Not at all,A little,No,Did not have to work today,0,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
gentlykittenthaw@timestudy_com/2020-10-15/phone_promptresponse_clean_2020-10-15.csv,21,gentlykittenthaw,Daily,TIME,RANDOM,22,23,2020-10-15,2020-10-15 22:36:00 PDT,GMT-07:00,1602826560516,Completed,2020-10-15,2020-10-15 22:42:16 PDT,1602826936265,2,set_4,23,9,Not at all,Moderately,A little,Moderately,Moderately,Moderately,A little,A little,Not at all,Moderately,Quite a bit,Not at all,Not at all,Moderately,No,No,0,,,,Very much so,Probably will,Not really,,,,,,,,,,,,,,,,,,,,,,,,
gentlykittenthaw@timestudy_com/2020-10-16/phone_promptresponse_clean_2020-10-16.csv,24,gentlykittenthaw,Daily,BURST,RANDOM,22,23,2020-10-16,2020-10-16 22:16:00 PDT,GMT-07:00,1602911760202,Completed,2020-10-16,2020-10-16 22:17:30 PDT,1602911850223,1,set_3,24,9,Not at all,Moderately,A little,A little,Moderately,A little,A little,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,Not at all,Probably will not,Not really,Very much,,,,,,,,,,,,,,,,,,,,
gentlykittenthaw@timestudy_com/2020-10-17/phone_promptresponse_clean_2020-10-17.csv,24,gentlykittenthaw,Daily,BURST,RANDOM,22,23,2020-10-17,2020-10-17 22:36:00 PDT,GMT-07:00,1602999360299,Completed,2020-10-17,2020-10-17 22:55:34 PDT,1603000534140,2,set_2,23,9,A little,Quite a bit,A little,A little,Moderately,A little,Not at all,Not at all,Not at all,A little,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,A little,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
gentlykittenthaw@timestudy_com/2020-10-18/phone_promptresponse_clean_2020-10-18.csv,24,gentlykittenthaw,Daily,BURST,RANDOM,22,23,2020-10-18,2020-10-18 22:17:00 PDT,GMT-07:00,1603084620324,Completed,2020-10-18,2020-10-18 22:22:57 PDT,1603084977726,2,set_2,47,9,Not at all,Moderately,A little,A little,Moderately,A little,Not at all,Not at all,A little,A little,Quite a bit,A little,Not at all,A little,No,No,0,Quite a bit,Definitely will,Yes,,,,,,,,Sort of,Yes,Not really,Yes,No,Not really,Not at all,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Less,Neither more nor less,Not at all,Not at all,,,,
gentlykittenthaw@timestudy_com/2020-10-19/phone_promptresponse_clean_2020-10-19.csv,22,gentlykittenthaw,Daily,BURST,RANDOM,21,22,2020-10-19,2020-10-19 21:23:00 PDT,GMT-07:00,1603167780341,Completed,2020-10-19,2020-10-19 21:24:23 PDT,1603167863384,1,set_2,23,9,A little,A little,Moderately,A little,A little,A little,Not at all,Not at all,Not at all,A little,Moderately,Not at all,Not at all,Moderately,No,No,0,Very much so,Might,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
gentlykittenthaw@timestudy_com/2020-10-20/phone_promptresponse_clean_2020-10-20.csv,109,gentlykittenthaw,Daily,TIME,RANDOM,22,23,2020-10-20,2020-10-20 22:18:00 PDT,GMT-07:00,1603257480322,Completed,2020-10-20,2020-10-20 22:18:59 PDT,1603257539489,1,set_3,23,9,Not at all,Moderately,A little,A little,A little,A little,Not at all,Not at all,Not at all,A little,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,Not at all,Probably will not,No,,,,,,,,,,,,,,,,,,,,,
gentlykittenthaw@timestudy_com/2020-10-21/phone_promptresponse_clean_2020-10-21.csv,23,gentlykittenthaw,Daily,TIME,RANDOM,21,22,2020-10-21,2020-10-21 21:12:00 PDT,GMT-07:00,1603339920294,Completed,2020-10-21,2020-10-21 21:14:33 PDT,1603340073720,1,set_3,23,9,Not at all,Moderately,A little,A little,Moderately,A little,Not at all,Not at all,Not at all,A little,Moderately,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,,Not at all,Definitely will not,No,,,,,,,,,,,,,,,,,,,,,
gentlykittenthaw@timestudy_com/2020-10-22/phone_promptresponse_clean_2020-10-22.csv,85,gentlykittenthaw,Daily,TIME,RANDOM,22,23,2020-10-22,2020-10-22 22:44:00 PDT,GMT-07:00,1603431840453,Completed,2020-10-22,2020-10-22 22:45:32 PDT,1603431932724,1,set_2,23,9,Not at all,Moderately,Not at all,A little,A little,A little,Not at all,Moderately,Not at all,Moderately,Quite a bit,Not at all,Not at all,Moderately,No,No,0,Quite a bit,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
gentlykittenthaw@timestudy_com/2020-10-23/phone_promptresponse_clean_2020-10-23.csv,69,gentlykittenthaw,Daily,TIME,RANDOM,22,23,2020-10-23,2020-10-23 22:29:00 PDT,GMT-07:00,1603517340185,Completed,2020-10-23,2020-10-23 22:30:17 PDT,1603517417118,1,set_4,23,9,Not at all,Moderately,Not at all,Moderately,Moderately,Moderately,A little,A little,Not at all,Moderately,Quite a bit,A little,A little,Moderately,No,No,0,,,,Quite a bit,Probably will,Not really,,,,,,,,,,,,,,,,,,,,,,,,
