.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x34_affmot_eat,x35_int_eat,x36_goal_eat,x37_plan_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x55_engage,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x30_affmot_sed,x31_int_sed,x32_plan_sed
slapstickporcupineslacks@timestudy_com/2021-03-14/phone_promptresponse_clean_2021-03-14.csv,2,slapstickporcupineslacks,Daily,TIME,RANDOM,18,19,2021-03-14,2021-03-14 18:12:00 EDT,GMT-04:00,1615759920262,Completed,2021-03-14,2021-03-14 19:57:32 EDT,1615766252844,2,set_4,50,9,Not at all,Quite a bit,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Not at all,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,Sort of,Yes,No,Maybe,Not really,Very much so,Definitely will,Yes,Yes,Not at all,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Very little,Not at all,Not at all,,,,,,,,,,
slapstickporcupineslacks@timestudy_com/2021-03-15/phone_promptresponse_clean_2021-03-15.csv,21,slapstickporcupineslacks,Daily,TIME,RANDOM,21,22,2021-03-15,2021-03-15 21:34:00 EDT,GMT-04:00,1615858440223,Completed,2021-03-15,2021-03-15 22:02:14 EDT,1615860134112,2,set_4,23,9,Not at all,Quite a bit,A little,Quite a bit,Extremely,Not at all,Not at all,A little,Not at all,Very much so,Quite a bit,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,Very much so,Probably will,,Sort of,,,,,,,,,,,,,,,,,,,,,
slapstickporcupineslacks@timestudy_com/2021-03-16/phone_promptresponse_clean_2021-03-16.csv,20,slapstickporcupineslacks,Daily,TIME,RANDOM,21,22,2021-03-16,2021-03-16 21:40:00 EDT,GMT-04:00,1615945200186,Completed,2021-03-16,2021-03-16 21:41:42 EDT,1615945302703,1,set_4,23,9,Not at all,Extremely,Not at all,Moderately,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,Very much so,Probably will,,Sort of,,,,,,,,,,,,,,,,,,,,,
slapstickporcupineslacks@timestudy_com/2021-03-17/phone_promptresponse_clean_2021-03-17.csv,16,slapstickporcupineslacks,Daily,TIME,RANDOM,21,22,2021-03-17,2021-03-17 21:36:00 EDT,GMT-04:00,1616031360253,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slapstickporcupineslacks@timestudy_com/2021-03-18/phone_promptresponse_clean_2021-03-18.csv,20,slapstickporcupineslacks,Daily,TIME,RANDOM,21,22,2021-03-18,2021-03-18 21:19:00 EDT,GMT-04:00,1616116740295,Completed,2021-03-18,2021-03-18 21:20:29 EDT,1616116829566,1,set_4,24,9,Not at all,Quite a bit,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Not at all,Not at all,A little,Very much so,No,Did not have to work today,0,,,,,,Very much so,Definitely will,,Sort of,,,,,,,,,,,Not at all,,,,,,,,,,
slapstickporcupineslacks@timestudy_com/2021-03-19/phone_promptresponse_clean_2021-03-19.csv,18,slapstickporcupineslacks,Daily,TIME,RANDOM,21,22,2021-03-19,2021-03-19 21:11:00 EDT,GMT-04:00,1616202660268,Completed,2021-03-19,2021-03-19 21:12:49 EDT,1616202769249,1,set_2,23,9,Not at all,Moderately,Not at all,Moderately,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Trying to decide,,,,,,,
slapstickporcupineslacks@timestudy_com/2021-03-20/phone_promptresponse_clean_2021-03-20.csv,20,slapstickporcupineslacks,Daily,BURST,RANDOM,21,22,2021-03-20,2021-03-20 21:20:00 EDT,GMT-04:00,1616289600278,Completed,2021-03-20,2021-03-20 21:21:25 EDT,1616289685746,1,set_4,23,9,Not at all,Quite a bit,A little,Moderately,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Not at all,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,Very much so,Probably will,,Sort of,,,,,,,,,,,,,,,,,,,,,
slapstickporcupineslacks@timestudy_com/2021-03-21/phone_promptresponse_clean_2021-03-21.csv,20,slapstickporcupineslacks,Daily,BURST,RANDOM,21,22,2021-03-21,2021-03-21 21:38:00 EDT,GMT-04:00,1616377080242,Completed,2021-03-21,2021-03-21 21:46:21 EDT,1616377581274,2,set_2,47,9,Not at all,Quite a bit,A little,Moderately,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,Sort of,No and I didn't have a goal,No,Yes,Sort of,,,Yes,,Not at all,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Not at all,Not at all,,Very much so,Definitely will,Yes,,,,,,,
slapstickporcupineslacks@timestudy_com/2021-03-22/phone_promptresponse_clean_2021-03-22.csv,21,slapstickporcupineslacks,Daily,BURST,RANDOM,21,22,2021-03-22,2021-03-22 21:39:00 EDT,GMT-04:00,1616463540204,Completed,2021-03-22,2021-03-22 21:40:29 EDT,1616463629061,1,set_1,24,9,Not at all,Quite a bit,Moderately,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Not at all,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Yes,Yes,,,
slapstickporcupineslacks@timestudy_com/2021-03-23/phone_promptresponse_clean_2021-03-23.csv,13,slapstickporcupineslacks,Daily,BURST,RANDOM,21,22,2021-03-23,2021-03-23 21:26:05 EDT,GMT-04:00,1616549165077,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
