.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x34_affmot_eat,x35_int_eat,x37_plan_eat,x55_engage,x30_affmot_sed,x31_int_sed,x32_plan_sed,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa
feistydaycarelung@timestudy_com/2020-10-09/phone_promptresponse_clean_2020-10-09.csv,1,feistydaycarelung,Daily,TIME,RANDOM,0,1,2020-10-09,2020-10-09 00:29:00 MDT,GMT-06:00,1602224940112,Completed,2020-10-09,2020-10-09 00:32:01 MDT,1602225121275,1,set_4,24,9,A little,Moderately,Extremely,Not at all,Moderately,A little,A little,Not at all,A little,Moderately,A little,A little,Quite a bit,Moderately,No,No,0,Not at all,Might,No,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,
feistydaycarelung@timestudy_com/2020-10-09/phone_promptresponse_clean_2020-10-09.csv,24,feistydaycarelung,Daily,TIME,RANDOM,23,0,2020-10-09,2020-10-09 23:35:00 MDT,GMT-06:00,1602308100121,Completed,2020-10-09,2020-10-09 23:36:28 MDT,1602308188546,1,set_3,24,9,Not at all,Moderately,Moderately,Moderately,Quite a bit,A little,A little,Not at all,A little,Moderately,A little,A little,A little,Moderately,No,Yes,0,,,,Not at all,A little,Definitely will not,No,,,,,,,,,,,,,,,,,,,,,,,
feistydaycarelung@timestudy_com/2020-10-11/phone_promptresponse_clean_2020-10-11.csv,1,feistydaycarelung,Daily,BURST,RANDOM,0,1,2020-10-11,2020-10-11 00:44:00 MDT,GMT-06:00,1602398640118,Completed,2020-10-11,2020-10-11 00:47:35 MDT,1602398855457,1,set_3,47,9,A little,Quite a bit,Quite a bit,A little,Quite a bit,A little,A little,A little,Not at all,Moderately,A little,Moderately,Quite a bit,Not at all,No,Yes,0,,,,,Not at all,Might,No,Not really,No and I didn't have a goal,Not really,but had a goal,Not really,Not really,Not at all,Quite a bit,I am not experiencing viral symptoms,0 days,5 or more days,Neither more nor less,A lot more,A lot more,Extremely,Quite a bit,,,,,,,
feistydaycarelung@timestudy_com/2020-10-11/phone_promptresponse_clean_2020-10-11.csv,24,feistydaycarelung,Daily,BURST,RANDOM,23,0,2020-10-11,2020-10-11 23:39:00 MDT,GMT-06:00,1602481140184,Completed,2020-10-11,2020-10-11 23:41:52 MDT,1602481312962,1,set_2,47,9,Not at all,Quite a bit,Moderately,A little,Moderately,A little,A little,Not at all,A little,Moderately,Not at all,Moderately,A little,Moderately,No,No,0,,,,,,,,No,No and I didn't have a goal,Not really,but had a goal,Not really,Not really,Not at all,Quite a bit,I am not experiencing viral symptoms,0 days,5 or more days,Neither more nor less,A lot more,A lot more,Extremely,Moderate,Quite a bit,Probably will,Yes,,,,
feistydaycarelung@timestudy_com/2020-10-13/phone_promptresponse_clean_2020-10-13.csv,1,feistydaycarelung,Daily,BURST,RANDOM,23,0,2020-10-12,2020-10-12 23:26:00 MDT,GMT-06:00,1602566760119,Completed,2020-10-13,2020-10-13 00:20:29 MDT,1602570029348,2,set_1,24,9,Not at all,A little,Moderately,A little,Quite a bit,A little,A little,Not at all,A little,Moderately,A little,A little,Moderately,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Definitely will not,Sort of,but I had a goal
feistydaycarelung@timestudy_com/2020-10-14/phone_promptresponse_clean_2020-10-14.csv,2,feistydaycarelung,Daily,BURST,RANDOM,0,1,2020-10-14,2020-10-14 00:15:00 MDT,GMT-06:00,1602656100119,NeverStarted,,,,,set_1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feistydaycarelung@timestudy_com/2020-10-14/phone_promptresponse_clean_2020-10-14.csv,24,feistydaycarelung,Daily,TIME,RANDOM,23,0,2020-10-14,2020-10-14 23:30:00 MDT,GMT-06:00,1602739800166,Completed,2020-10-14,2020-10-14 23:32:16 MDT,1602739936393,1,set_4,23,9,Not at all,Moderately,Moderately,Moderately,A little,Not at all,Moderately,Not at all,Moderately,Very much so,Quite a bit,A little,A little,Moderately,No,No,0,Not at all,Probably will,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
feistydaycarelung@timestudy_com/2020-10-16/phone_promptresponse_clean_2020-10-16.csv,1,feistydaycarelung,Daily,TIME,RANDOM,0,1,2020-10-16,2020-10-16 00:17:00 MDT,GMT-06:00,1602829020121,Completed,2020-10-16,2020-10-16 00:18:03 MDT,1602829083583,1,set_1,24,9,Not at all,Moderately,Not at all,Moderately,Moderately,A little,A little,A little,A little,Quite a bit,Moderately,Moderately,Moderately,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Not really,but I had a goal
feistydaycarelung@timestudy_com/2020-10-16/phone_promptresponse_clean_2020-10-16.csv,24,feistydaycarelung,Daily,TIME,RANDOM,23,0,2020-10-16,2020-10-16 23:30:00 MDT,GMT-06:00,1602912600244,Completed,2020-10-16,2020-10-16 23:31:15 MDT,1602912675036,1,set_1,24,9,Not at all,Moderately,A little,Not at all,A little,Not at all,Not at all,A little,Not at all,Very much so,Moderately,Not at all,Moderately,A little,No,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will not,Not really,No
feistydaycarelung@timestudy_com/2020-10-18/phone_promptresponse_clean_2020-10-18.csv,1,feistydaycarelung,Daily,TIME,RANDOM,0,1,2020-10-18,2020-10-18 00:45:00 MDT,GMT-06:00,1603003500090,Completed,2020-10-18,2020-10-18 00:47:50 MDT,1603003670697,1,set_3,47,9,Not at all,Moderately,Extremely,Not at all,Moderately,Not at all,A little,Moderately,Not at all,Moderately,Quite a bit,Not at all,Moderately,Not at all,No,Yes,0,,,,,Not at all,Probably will not,Not really,Not really,No and I didn't have a goal,Sort of,but had a goal,Not really,Not really,Not at all,Quite a bit,I am not experiencing viral symptoms,0 days,4 days,Less,A lot more,More,Quite a bit,Moderate,,,,,,,
