.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x34_affmot_eat,x35_int_eat,x37_plan_eat,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x30_affmot_sed,x31_int_sed,x32_plan_sed,x55_engage,x25_affmot_sleep,x26_int_sleep,x27_del_sleep
synapseevaluatechevron@timestudy_com/2021-04-01/phone_promptresponse_clean_2021-04-01.csv,6,synapseevaluatechevron,Daily,BURST,RANDOM,19,20,2021-04-01,2021-04-01 19:48:00 EDT,GMT-04:00,1617320880840,Completed,2021-04-01,2021-04-01 19:49:29 EDT,1617320969605,1,set_4,23,9,Not at all,Moderately,Extremely,Not at all,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Quite a bit,A little,Moderately,Very much so,No,No,0,Very much so,Definitely will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-02/phone_promptresponse_clean_2021-04-02.csv,21,synapseevaluatechevron,Daily,BURST,RANDOM,20,21,2021-04-02,2021-04-02 20:39:00 EDT,GMT-04:00,1617410340307,Completed,2021-04-02,2021-04-02 20:45:38 EDT,1617410738679,2,set_4,23,9,Not at all,Not at all,Not at all,Not at all,Not at all,Quite a bit,Extremely,Extremely,Not at all,A little,Very much so,Very much so,Moderately,Very much so,No,No,0,Quite a bit,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-03/phone_promptresponse_clean_2021-04-03.csv,17,synapseevaluatechevron,Daily,BURST,RANDOM,19,20,2021-04-03,2021-04-03 19:46:44 EDT,GMT-04:00,1617493604227,Completed,2021-04-03,2021-04-03 19:48:36 EDT,1617493716323,1,set_1,24,9,Not at all,Extremely,A little,Moderately,A little,Not at all,Not at all,Not at all,Not at all,Quite a bit,Not at all,Not at all,Moderately,A little,No,No,0,,,,Quite a bit,Might,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-04/phone_promptresponse_clean_2021-04-04.csv,19,synapseevaluatechevron,Daily,BURST,RANDOM,18,19,2021-04-04,2021-04-04 18:33:00 EDT,GMT-04:00,1617575580356,Completed,2021-04-04,2021-04-04 18:36:11 EDT,1617575771259,1,set_1,48,9,Not at all,Quite a bit,Not at all,Quite a bit,Not at all,Not at all,Not at all,Not at all,Not at all,Quite a bit,Not at all,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,Very much so,Might,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,A lot more,A lot more,A lot more,Very little,Moderate,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-05/phone_promptresponse_clean_2021-04-05.csv,25,synapseevaluatechevron,Daily,TIME,RANDOM,20,21,2021-04-05,2021-04-05 20:49:00 EDT,GMT-04:00,1617670140396,Completed,2021-04-05,2021-04-05 20:50:20 EDT,1617670220302,1,set_3,23,9,Not at all,Moderately,A little,Not at all,A little,Not at all,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Sort of,,,,
synapseevaluatechevron@timestudy_com/2021-04-06/phone_promptresponse_clean_2021-04-06.csv,21,synapseevaluatechevron,Daily,TIME,RANDOM,20,21,2021-04-06,2021-04-06 20:19:00 EDT,GMT-04:00,1617754740199,Completed,2021-04-06,2021-04-06 20:20:09 EDT,1617754809890,1,set_4,24,9,Quite a bit,A little,A little,Not at all,A little,Moderately,Quite a bit,Moderately,Not at all,Moderately,Very much so,Not at all,Not at all,Very much so,No,No,0,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,
synapseevaluatechevron@timestudy_com/2021-04-07/phone_promptresponse_clean_2021-04-07.csv,30,synapseevaluatechevron,Daily,TIME,RANDOM,20,21,2021-04-07,2021-04-07 20:14:00 EDT,GMT-04:00,1617840840334,Completed,2021-04-07,2021-04-07 20:15:59 EDT,1617840959102,1,set_2,23,9,A little,Quite a bit,Not at all,A little,Moderately,Moderately,A little,Moderately,Not at all,Very much so,Moderately,Not at all,A little,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Definitely will,Trying to decide
synapseevaluatechevron@timestudy_com/2021-04-08/phone_promptresponse_clean_2021-04-08.csv,22,synapseevaluatechevron,Daily,TIME,RANDOM,20,21,2021-04-08,2021-04-08 20:25:00 EDT,GMT-04:00,1617927900376,Completed,2021-04-08,2021-04-08 20:26:24 EDT,1617927984963,1,set_1,24,9,Not at all,Moderately,Not at all,Moderately,Quite a bit,Moderately,A little,Not at all,Not at all,Quite a bit,Moderately,Not at all,Not at all,Quite a bit,No,No,0,,,,A little,Might,Not really,Yes,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-09/phone_promptresponse_clean_2021-04-09.csv,23,synapseevaluatechevron,Daily,TIME,RANDOM,21,22,2021-04-09,2021-04-09 21:42:00 EDT,GMT-04:00,1618018920362,Completed,2021-04-09,2021-04-09 21:44:03 EDT,1618019043853,1,set_1,24,9,Not at all,Moderately,Not at all,Moderately,Quite a bit,Not at all,Not at all,A little,Not at all,Very much so,Very much so,Moderately,Not at all,Very much so,No,No,0,,,,Very much so,Definitely will,Yes,Maybe,,,,,,,,,,,,,,,,,,,,,,,
synapseevaluatechevron@timestudy_com/2021-04-10/phone_promptresponse_clean_2021-04-10.csv,25,synapseevaluatechevron,Daily,TIME,RANDOM,22,23,2021-04-10,2021-04-10 22:31:00 EDT,GMT-04:00,1618108260446,Completed,2021-04-10,2021-04-10 22:32:01 EDT,1618108321791,1,set_3,23,9,Not at all,Extremely,Not at all,A little,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,,,,
