.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x34_affmot_eat,x35_int_eat,x37_plan_eat,x55_engage,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x30_affmot_sed,x31_int_sed,x32_plan_sed
craftworkattendeeensnare@timestudy_com/2021-02-04/phone_promptresponse_clean_2021-02-04.csv,2,craftworkattendeeensnare,Daily,BURST,RANDOM,22,23,2021-02-04,2021-02-04 22:26:00 PST,GMT-08:00,1612506360097,Completed,2021-02-04,2021-02-04 22:44:02 PST,1612507442769,0,set_2,23,9,A little,Quite a bit,Extremely,A little,A little,A little,A little,Not at all,Moderately,Quite a bit,Very much so,A little,A little,Not at all,No,No,0,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-05/phone_promptresponse_clean_2021-02-05.csv,23,craftworkattendeeensnare,Daily,BURST,RANDOM,21,22,2021-02-05,2021-02-05 21:45:00 PST,GMT-08:00,1612590300125,Completed,2021-02-05,2021-02-05 22:19:58 PST,1612592398460,2,set_4,24,9,Not at all,Moderately,Quite a bit,A little,A little,Not at all,Quite a bit,A little,A little,A little,Not at all,A little,Moderately,Not at all,No,No,0,,,,Very much so,Probably will,Yes,Not at all,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-06/phone_promptresponse_clean_2021-02-06.csv,20,craftworkattendeeensnare,Daily,BURST,RANDOM,20,21,2021-02-06,2021-02-06 20:44:00 PST,GMT-08:00,1612673040209,Completed,2021-02-06,2021-02-06 20:46:10 PST,1612673170615,1,set_2,24,9,Not at all,Extremely,Not at all,Not at all,Not at all,Moderately,A little,Not at all,A little,Not at all,Very much so,A little,Not at all,Very much so,No,No,0,Quite a bit,Definitely will,Trying to decide,,,,Somewhat,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-07/phone_promptresponse_clean_2021-02-07.csv,20,craftworkattendeeensnare,Daily,BURST,RANDOM,20,21,2021-02-07,2021-02-07 20:34:00 PST,GMT-08:00,1612758840140,Completed,2021-02-07,2021-02-07 20:40:07 PST,1612759207257,1,set_2,47,9,Not at all,A little,A little,A little,Not at all,Quite a bit,Not at all,A little,A little,A little,Very much so,Moderately,A little,Very much so,No,No,0,Very much so,Definitely will,Yes,,,,,Sort of,Maybe,No,Yes,Sort of,Not really,Extremely,Quite a bit,I am not experiencing viral symptoms,3 days,2 days,Less,Less,More,Quite a bit,Quite a bit,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-08/phone_promptresponse_clean_2021-02-08.csv,75,craftworkattendeeensnare,Daily,TIME,RANDOM,22,23,2021-02-08,2021-02-08 22:39:00 PST,GMT-08:00,1612852740100,Completed,2021-02-08,2021-02-08 22:44:57 PST,1612853097330,1,set_1,25,9,Not at all,Quite a bit,A little,Moderately,Quite a bit,A little,Moderately,Moderately,Moderately,Quite a bit,A little,A little,A little,Very much so,No,No,0,,,,,,,Not at all,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Yes,No,,,
craftworkattendeeensnare@timestudy_com/2021-02-09/phone_promptresponse_clean_2021-02-09.csv,23,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-09,2021-02-09 21:15:00 PST,GMT-08:00,1612934100075,Completed,2021-02-09,2021-02-09 21:16:01 PST,1612934161837,1,set_4,23,9,Not at all,Extremely,A little,Moderately,A little,Moderately,A little,Extremely,Moderately,Quite a bit,Very much so,A little,A little,Quite a bit,No,No,0,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-10/phone_promptresponse_clean_2021-02-10.csv,22,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-10,2021-02-10 21:29:00 PST,GMT-08:00,1613021340143,Completed,2021-02-10,2021-02-10 21:36:55 PST,1613021815553,2,set_3,23,9,A little,Quite a bit,Quite a bit,A little,Moderately,Moderately,A little,A little,Moderately,A little,Quite a bit,A little,A little,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Sort of
craftworkattendeeensnare@timestudy_com/2021-02-11/phone_promptresponse_clean_2021-02-11.csv,20,craftworkattendeeensnare,Daily,TIME,RANDOM,20,21,2021-02-11,2021-02-11 20:34:00 PST,GMT-08:00,1613104440114,NeverStarted,,,,,set_1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-12/phone_promptresponse_clean_2021-02-12.csv,21,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-12,2021-02-12 21:48:00 PST,GMT-08:00,1613195280137,Completed,2021-02-12,2021-02-12 21:49:49 PST,1613195389650,1,set_4,23,9,A little,Quite a bit,Moderately,Moderately,A little,Quite a bit,Not at all,A little,Quite a bit,A little,A little,A little,A little,Very much so,No,No,0,,,,Very much so,Definitely will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-13/phone_promptresponse_clean_2021-02-13.csv,23,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-13,2021-02-13 21:25:00 PST,GMT-08:00,1613280300130,Completed,2021-02-13,2021-02-13 21:26:21 PST,1613280381936,1,set_1,24,9,Extremely,Not at all,Extremely,Not at all,Not at all,Extremely,Extremely,Extremely,Very much so,Not at all,Not at all,Moderately,A little,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,No,,,
craftworkattendeeensnare@timestudy_com/2021-02-14/phone_promptresponse_clean_2021-02-14.csv,22,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-14,2021-02-14 21:25:00 PST,GMT-08:00,1613366700090,Completed,2021-02-14,2021-02-14 21:29:42 PST,1613366982547,1,set_3,47,9,Moderately,Moderately,A little,Moderately,Quite a bit,Quite a bit,Moderately,Quite a bit,A little,Moderately,Quite a bit,A little,Moderately,Moderately,No,No,0,,,,,,,,Sort of,No,Yes,Maybe,Yes,Yes,Extremely,Moderately,I am not experiencing viral symptoms,0 days,0 days,More,More,More,Quite a bit,Quite a bit,,,,,A little,Might,Yes
craftworkattendeeensnare@timestudy_com/2021-02-15/phone_promptresponse_clean_2021-02-15.csv,22,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-15,2021-02-15 21:27:00 PST,GMT-08:00,1613453220082,NeverStarted,,,,,set_3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-16/phone_promptresponse_clean_2021-02-16.csv,22,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-16,2021-02-16 21:41:00 PST,GMT-08:00,1613540460299,Completed,2021-02-16,2021-02-16 21:42:31 PST,1613540551127,1,set_4,23,9,A little,Moderately,Quite a bit,A little,A little,Quite a bit,Quite a bit,Moderately,Moderately,A little,A little,Quite a bit,A little,Very much so,Not sure,No,0,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-17/phone_promptresponse_clean_2021-02-17.csv,22,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-17,2021-02-17 21:38:00 PST,GMT-08:00,1613626680111,Completed,2021-02-17,2021-02-17 21:43:28 PST,1613627008823,2,set_1,24,9,Not at all,Extremely,Moderately,Moderately,A little,Quite a bit,Moderately,Not at all,A little,A little,Not at all,Moderately,A little,Very much so,Not sure,No,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Might,Yes,No,,,
craftworkattendeeensnare@timestudy_com/2021-02-18/phone_promptresponse_clean_2021-02-18.csv,22,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-18,2021-02-18 21:29:00 PST,GMT-08:00,1613712540124,Completed,2021-02-18,2021-02-18 21:30:18 PST,1613712618880,1,set_1,25,9,Not at all,Extremely,Moderately,Moderately,A little,A little,A little,Not at all,A little,A little,A little,Moderately,A little,Moderately,No,No,0,,,,,,,Not at all,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,Yes,,,
craftworkattendeeensnare@timestudy_com/2021-02-19/phone_promptresponse_clean_2021-02-19.csv,22,craftworkattendeeensnare,Daily,BURST,RANDOM,21,22,2021-02-19,2021-02-19 21:45:00 PST,GMT-08:00,1613799900148,Completed,2021-02-19,2021-02-19 21:46:13 PST,1613799973169,1,set_2,23,9,A little,A little,Moderately,A little,Quite a bit,Not at all,Moderately,Moderately,Moderately,A little,Moderately,Moderately,Moderately,Very much so,No,No,0,Quite a bit,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-20/phone_promptresponse_clean_2021-02-20.csv,22,craftworkattendeeensnare,Daily,BURST,RANDOM,21,22,2021-02-20,2021-02-20 21:14:00 PST,GMT-08:00,1613884440912,Completed,2021-02-20,2021-02-20 21:16:19 PST,1613884579798,1,set_3,23,9,A little,Quite a bit,A little,Moderately,Moderately,A little,A little,Not at all,Quite a bit,A little,Moderately,Moderately,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes
craftworkattendeeensnare@timestudy_com/2021-02-21/phone_promptresponse_clean_2021-02-21.csv,22,craftworkattendeeensnare,Daily,BURST,RANDOM,21,22,2021-02-21,2021-02-21 21:23:00 PST,GMT-08:00,1613971380093,Completed,2021-02-21,2021-02-21 21:31:08 PST,1613971868777,2,set_3,48,9,Not at all,Extremely,A little,Quite a bit,A little,A little,A little,A little,A little,Quite a bit,Very much so,Moderately,Not at all,Very much so,No,Did not have to work today,0,,,,,,,Not at all,Yes,Yes,Sort of,No,Yes,Yes,Extremely,Quite a bit,I am not experiencing viral symptoms,1 day,0 days,A lot less,A lot more,Neither more nor less,Quite a bit,Quite a bit,,,,,Very much so,Definitely will,Yes
craftworkattendeeensnare@timestudy_com/2021-02-22/phone_promptresponse_clean_2021-02-22.csv,21,craftworkattendeeensnare,Daily,BURST,RANDOM,21,22,2021-02-22,2021-02-22 21:40:00 PST,GMT-08:00,1614058800110,Completed,2021-02-22,2021-02-22 21:41:17 PST,1614058877857,1,set_2,23,9,Not at all,Extremely,Moderately,A little,A little,A little,Moderately,A little,A little,Quite a bit,Very much so,Moderately,Not at all,Very much so,No,No,0,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-24/phone_promptresponse_clean_2021-02-24.csv,22,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-24,2021-02-24 21:45:00 PST,GMT-08:00,1614231900111,Completed,2021-02-24,2021-02-24 21:46:47 PST,1614232007936,1,set_4,23,9,Extremely,Not at all,Extremely,Not at all,Extremely,Not at all,Extremely,Extremely,Very much so,Moderately,Not at all,Moderately,Moderately,Very much so,No,No,0,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-25/phone_promptresponse_clean_2021-02-25.csv,27,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-25,2021-02-25 21:20:00 PST,GMT-08:00,1614316800102,Completed,2021-02-25,2021-02-25 21:21:18 PST,1614316878633,1,set_1,25,9,Moderately,Moderately,Moderately,Moderately,A little,Extremely,Extremely,Extremely,Very much so,Moderately,Moderately,Quite a bit,Moderately,Very much so,No,No,0,,,,,,,Not at all,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,No,,,
craftworkattendeeensnare@timestudy_com/2021-02-26/phone_promptresponse_clean_2021-02-26.csv,22,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-26,2021-02-26 21:34:00 PST,GMT-08:00,1614404040084,Completed,2021-02-26,2021-02-26 21:35:26 PST,1614404126410,1,set_4,23,9,Quite a bit,A little,Extremely,Not at all,Not at all,Extremely,Extremely,Extremely,Very much so,Very much so,Moderately,Not at all,A little,Very much so,No,No,0,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-02-27/phone_promptresponse_clean_2021-02-27.csv,22,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-27,2021-02-27 21:29:00 PST,GMT-08:00,1614490140140,Completed,2021-02-27,2021-02-27 21:30:22 PST,1614490222340,1,set_1,24,9,Not at all,Extremely,Not at all,Extremely,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,A little,Quite a bit,A little,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Yes,Maybe,,,
craftworkattendeeensnare@timestudy_com/2021-02-28/phone_promptresponse_clean_2021-02-28.csv,22,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-02-28,2021-02-28 21:35:00 PST,GMT-08:00,1614576900124,Completed,2021-02-28,2021-02-28 21:38:46 PST,1614577126575,1,set_4,48,9,Moderately,Moderately,Quite a bit,Moderately,A little,Quite a bit,A little,Not at all,Moderately,A little,Moderately,A little,Not at all,Very much so,No,Did not have to work today,0,,,,Very much so,Definitely will,Yes,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Moderately,Quite a bit,I am not experiencing viral symptoms,0 days,0 days,Less,More,Neither more nor less,Extremely,Quite a bit,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-03-01/phone_promptresponse_clean_2021-03-01.csv,22,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-03-01,2021-03-01 21:25:00 PST,GMT-08:00,1614662700063,Completed,2021-03-01,2021-03-01 21:26:29 PST,1614662789455,1,set_3,24,9,Moderately,Moderately,Quite a bit,A little,Moderately,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Very much so,A little,Not at all,Very much so,No,No,0,,,,,,,Not at all,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes
craftworkattendeeensnare@timestudy_com/2021-03-02/phone_promptresponse_clean_2021-03-02.csv,18,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-03-02,2021-03-02 21:42:00 PST,GMT-08:00,1614750120074,Completed,2021-03-02,2021-03-02 21:43:08 PST,1614750188213,1,set_1,24,9,Not at all,Extremely,Not at all,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,A little,Quite a bit,A little,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,Yes,,,
craftworkattendeeensnare@timestudy_com/2021-03-03/phone_promptresponse_clean_2021-03-03.csv,21,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-03-03,2021-03-03 21:42:00 PST,GMT-08:00,1614836520101,Completed,2021-03-03,2021-03-03 21:42:57 PST,1614836577390,1,set_1,24,9,Moderately,Moderately,A little,A little,A little,Quite a bit,Quite a bit,A little,Moderately,Quite a bit,Very much so,Moderately,A little,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Definitely will,Yes,Yes,,,
craftworkattendeeensnare@timestudy_com/2021-03-04/phone_promptresponse_clean_2021-03-04.csv,18,craftworkattendeeensnare,Daily,TIME,RANDOM,21,22,2021-03-04,2021-03-04 21:44:00 PST,GMT-08:00,1614923040182,Completed,2021-03-04,2021-03-04 22:42:42 PST,1614926562655,2,set_3,23,9,Not at all,Extremely,Moderately,Moderately,Moderately,A little,A little,A little,Moderately,Quite a bit,Very much so,A little,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Might,Yes
craftworkattendeeensnare@timestudy_com/2021-03-05/phone_promptresponse_clean_2021-03-05.csv,23,craftworkattendeeensnare,Daily,BURST,RANDOM,21,22,2021-03-05,2021-03-05 21:38:00 PST,GMT-08:00,1615009080112,NeverStarted,,,,,set_1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
craftworkattendeeensnare@timestudy_com/2021-03-06/phone_promptresponse_clean_2021-03-06.csv,22,craftworkattendeeensnare,Daily,BURST,RANDOM,21,22,2021-03-06,2021-03-06 21:31:00 PST,GMT-08:00,1615095060141,Completed,2021-03-06,2021-03-06 21:32:10 PST,1615095130793,1,set_1,24,9,Extremely,Not at all,Extremely,Not at all,Not at all,Extremely,Extremely,Extremely,Very much so,Not at all,Not at all,Moderately,Quite a bit,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,Yes,,,
craftworkattendeeensnare@timestudy_com/2021-03-07/phone_promptresponse_clean_2021-03-07.csv,22,craftworkattendeeensnare,Daily,BURST,RANDOM,21,22,2021-03-07,2021-03-07 21:43:00 PST,GMT-08:00,1615182180126,Completed,2021-03-07,2021-03-07 21:49:10 PST,1615182550693,2,set_1,48,9,A little,Moderately,Moderately,Moderately,A little,Moderately,A little,Moderately,Moderately,Moderately,Moderately,Moderately,A little,Quite a bit,No,Did not have to work today,0,,,,,,,,Sort of,No,Not really,Maybe,Sort of,Sort of,Moderately,A little,I am not experiencing viral symptoms,3 days,3 days,More,Neither more nor less,Neither more nor less,Very little,Moderate,A little,Probably will,Not really,Maybe,,,
