.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x30_affmot_sed,x31_int_sed,x32_plan_sed,x55_engage,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x34_affmot_eat,x35_int_eat,x36_goal_eat,x37_plan_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress
rangerabrasivedislike@timestudy_com/2021-03-03/phone_promptresponse_clean_2021-03-03.csv,2,rangerabrasivedislike,Daily,TIME,RANDOM,20,21,2021-03-03,2021-03-03 20:10:00 CST,GMT-06:00,1614823800079,Completed,2021-03-03,2021-03-03 20:16:44 CST,1614824204544,2,set_2,23,9,Not at all,Quite a bit,Moderately,A little,A little,A little,A little,Moderately,Not at all,A little,Moderately,A little,Moderately,Quite a bit,No,No,0,A little,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-04/phone_promptresponse_clean_2021-03-04.csv,23,rangerabrasivedislike,Daily,TIME,RANDOM,20,21,2021-03-04,2021-03-04 20:28:00 CST,GMT-06:00,1614911280596,Completed,2021-03-04,2021-03-04 20:29:59 CST,1614911399093,1,set_3,23,9,A little,Quite a bit,Moderately,Moderately,Moderately,A little,A little,A little,Not at all,A little,Moderately,Moderately,A little,A little,No,No,0,,,,A little,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-05/phone_promptresponse_clean_2021-03-05.csv,101,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-05,2021-03-05 21:12:00 CST,GMT-06:00,1615000320298,Completed,2021-03-05,2021-03-05 21:49:51 CST,1615002591938,2,set_2,24,9,Not at all,Quite a bit,Moderately,A little,Moderately,A little,Moderately,A little,Not at all,Quite a bit,Quite a bit,A little,Not at all,Quite a bit,No,No,0,Very much so,Probably will,Yes,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-06/phone_promptresponse_clean_2021-03-06.csv,22,rangerabrasivedislike,Daily,BURST,RANDOM,22,23,2021-03-06,2021-03-06 22:49:00 CST,GMT-06:00,1615092540129,Completed,2021-03-06,2021-03-06 22:50:54 CST,1615092654460,1,set_1,25,9,Not at all,Extremely,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Not at all,Not at all,Not at all,Very much so,No,No,0,,,,,,,Somewhat,Quite a bit,Might,Not really,Yes,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-07/phone_promptresponse_clean_2021-03-07.csv,20,rangerabrasivedislike,Daily,BURST,RANDOM,21,22,2021-03-07,2021-03-07 21:38:00 CST,GMT-06:00,1615174680116,Completed,2021-03-07,2021-03-07 21:43:38 CST,1615175018723,2,set_4,47,9,Not at all,Extremely,A little,Quite a bit,Extremely,A little,A little,Not at all,Not at all,Quite a bit,A little,A little,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,,,,,Sort of,Maybe,Yes,Yes,Not really,A little,Probably will,Yes,Sort of,Not at all,A little,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Less,Neither more nor less,Quite a bit,Moderate
rangerabrasivedislike@timestudy_com/2021-03-08/phone_promptresponse_clean_2021-03-08.csv,21,rangerabrasivedislike,Daily,BURST,RANDOM,23,0,2021-03-08,2021-03-08 23:33:00 CST,GMT-06:00,1615267980115,Completed,2021-03-08,2021-03-08 23:34:43 CST,1615268083947,1,set_2,23,9,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Moderately,Not at all,Not at all,Quite a bit,No,No,0,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-09/phone_promptresponse_clean_2021-03-09.csv,23,rangerabrasivedislike,Daily,BURST,RANDOM,21,22,2021-03-09,2021-03-09 21:21:00 CST,GMT-06:00,1615346460124,Completed,2021-03-09,2021-03-09 21:32:05 CST,1615347125118,2,set_1,24,9,Not at all,Extremely,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Very much so,No,No,0,,,,,,,,Quite a bit,Probably will,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-10/phone_promptresponse_clean_2021-03-10.csv,84,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-10,2021-03-10 21:36:00 CST,GMT-06:00,1615433760229,Completed,2021-03-10,2021-03-10 21:38:04 CST,1615433884856,1,set_4,23,9,Not at all,Extremely,Moderately,Extremely,Moderately,Moderately,A little,A little,Not at all,Very much so,A little,Not at all,Moderately,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-11/phone_promptresponse_clean_2021-03-11.csv,13,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-11,2021-03-11 21:32:00 CST,GMT-06:00,1615519920120,Completed,2021-03-11,2021-03-11 22:43:12 CST,1615524192668,2,set_1,24,9,Moderately,Quite a bit,Quite a bit,A little,Moderately,A little,Quite a bit,A little,Not at all,Very much so,A little,Not at all,Moderately,A little,No,No,0,,,,,,,,Quite a bit,Probably will,Sort of,Yes,,,,,,,,,,,,,,,,,,,
rangerabrasivedislike@timestudy_com/2021-03-12/phone_promptresponse_clean_2021-03-12.csv,18,rangerabrasivedislike,Daily,TIME,RANDOM,21,22,2021-03-12,2021-03-12 21:43:00 CST,GMT-06:00,1615606980239,Completed,2021-03-12,2021-03-12 21:45:24 CST,1615607124499,1,set_4,23,9,A little,Extremely,A little,Quite a bit,Extremely,Not at all,A little,A little,A little,Moderately,Moderately,A little,Moderately,Very much so,No,Did not have to work today,0,,,,,,,,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,
