.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x34_affmot_eat,x35_int_eat,x37_plan_eat,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x30_affmot_sed,x31_int_sed,x32_plan_sed,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x55_engage,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x25_affmot_sleep,x26_int_sleep,x27_del_sleep
reliablydetaildebate@timestudy_com/2021-06-11/phone_promptresponse_clean_2021-06-11.csv,11,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-06-11,2021-06-11 21:37:00 PDT,GMT-07:00,1623472620211,Completed,2021-06-11,2021-06-11 21:38:43 PDT,1623472723558,1,set_4,23,9,Moderately,Moderately,Not at all,Moderately,Moderately,Not at all,A little,Not at all,Not at all,Moderately,Quite a bit,A little,A little,Quite a bit,No,No,0,A little,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-06-12/phone_promptresponse_clean_2021-06-12.csv,25,reliablydetaildebate,Daily,TIME,RANDOM,22,23,2021-06-12,2021-06-12 22:30:00 PDT,GMT-07:00,1623562200189,Completed,2021-06-12,2021-06-12 22:44:02 PDT,1623563042947,2,set_4,24,9,A little,Quite a bit,Not at all,Moderately,Quite a bit,A little,A little,Moderately,A little,Quite a bit,Very much so,Not at all,Not at all,Moderately,No,No,0,A little,Might,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-06-13/phone_promptresponse_clean_2021-06-13.csv,23,reliablydetaildebate,Daily,TIME,RANDOM,20,21,2021-06-13,2021-06-13 20:48:00 PDT,GMT-07:00,1623642480190,Completed,2021-06-13,2021-06-13 21:29:32 PDT,1623644972693,2,set_3,49,9,A little,Quite a bit,Moderately,A little,Moderately,Not at all,Not at all,Not at all,Not at all,Moderately,A little,Not at all,Not at all,A little,No,Did not have to work today,0,,,,No,No and I didn't have a goal,Sort of,Maybe,Not at all,Probably will not,No,Not really,Not really,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Not at all,Not at all,Not at all,,,,,,,
reliablydetaildebate@timestudy_com/2021-06-14/phone_promptresponse_clean_2021-06-14.csv,21,reliablydetaildebate,Daily,TIME,RANDOM,20,21,2021-06-14,2021-06-14 20:49:00 PDT,GMT-07:00,1623728940193,Completed,2021-06-14,2021-06-14 20:50:20 PDT,1623729020514,1,set_1,24,9,A little,Moderately,A little,Not at all,Quite a bit,A little,A little,Not at all,A little,Moderately,Moderately,A little,A little,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Not at all,Probably will not,No,but I had a goal,,,
reliablydetaildebate@timestudy_com/2021-06-15/phone_promptresponse_clean_2021-06-15.csv,20,reliablydetaildebate,Daily,TIME,RANDOM,19,20,2021-06-15,2021-06-15 19:34:00 PDT,GMT-07:00,1623810840145,Completed,2021-06-15,2021-06-15 19:35:16 PDT,1623810916189,1,set_3,23,9,Not at all,A little,Not at all,Not at all,Moderately,Not at all,A little,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Very much so,No,No,0,,,,,,,,Quite a bit,Might,Not really,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-06-16/phone_promptresponse_clean_2021-06-16.csv,30,reliablydetaildebate,Daily,TIME,RANDOM,21,22,2021-06-16,2021-06-16 21:20:00 PDT,GMT-07:00,1623903600167,Completed,2021-06-16,2021-06-16 21:24:40 PDT,1623903880922,1,set_1,24,9,Not at all,A little,Not at all,A little,A little,Moderately,Moderately,A little,Moderately,Quite a bit,Quite a bit,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Definitely will,Yes,Yes,,,
reliablydetaildebate@timestudy_com/2021-06-17/phone_promptresponse_clean_2021-06-17.csv,21,reliablydetaildebate,Daily,TIME,RANDOM,20,21,2021-06-17,2021-06-17 20:49:00 PDT,GMT-07:00,1623988140171,Completed,2021-06-17,2021-06-17 22:02:54 PDT,1623992574832,2,set_4,23,9,Not at all,Moderately,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,A little,Not at all,Very much so,No,No,0,Quite a bit,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-06-18/phone_promptresponse_clean_2021-06-18.csv,22,reliablydetaildebate,Daily,BURST,RANDOM,21,22,2021-06-18,2021-06-18 21:22:00 PDT,GMT-07:00,1624076520169,Completed,2021-06-18,2021-06-18 21:23:20 PDT,1624076600213,1,set_2,23,9,A little,A little,Moderately,A little,A little,Not at all,A little,Not at all,Not at all,Moderately,A little,A little,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Might,Trying to decide
reliablydetaildebate@timestudy_com/2021-06-19/phone_promptresponse_clean_2021-06-19.csv,21,reliablydetaildebate,Daily,BURST,RANDOM,20,21,2021-06-19,2021-06-19 20:31:00 PDT,GMT-07:00,1624159860173,Completed,2021-06-19,2021-06-19 21:17:01 PDT,1624162621675,2,set_3,23,9,Moderately,A little,Moderately,A little,Moderately,Moderately,A little,Moderately,A little,A little,Quite a bit,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,,,,,A little,Probably will,Yes,,,,,,,,,,,,,,,,,,,,
reliablydetaildebate@timestudy_com/2021-06-20/phone_promptresponse_clean_2021-06-20.csv,22,reliablydetaildebate,Daily,BURST,RANDOM,22,23,2021-06-20,2021-06-20 22:20:42 PDT,GMT-07:00,1624252842271,Completed,2021-06-20,2021-06-20 22:57:23 PDT,1624255043261,2,set_3,47,9,A little,A little,Quite a bit,A little,A little,A little,Not at all,Not at all,Not at all,Not at all,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,Sort of,Yes,Not really,Yes,A little,Definitely will,Yes,Not really,Sort of,Extremely,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Not at all,Not at all,,,,,,,,
