.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x30_affmot_sed,x31_int_sed,x32_plan_sed,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x34_affmot_eat,x35_int_eat,x37_plan_eat,x55_engage
cohesiveprotractfavored@timestudy_com/2020-09-15/phone_promptresponse_clean_2020-09-15.csv,1,cohesiveprotractfavored,Daily,TIME,RANDOM,0,1,2020-09-15,2020-09-15 00:47:00 PDT,GMT-07:00,1600156020194,Completed,2020-09-15,2020-09-15 00:49:24 PDT,1600156164314,1,set_3,23,9,A little,Quite a bit,A little,Moderately,Extremely,Not at all,A little,Not at all,A little,A little,Quite a bit,Not at all,A little,Very much so,No,No,0,A little,Might,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-09-16/phone_promptresponse_clean_2020-09-16.csv,1,cohesiveprotractfavored,Daily,TIME,RANDOM,0,1,2020-09-16,2020-09-16 00:45:00 PDT,GMT-07:00,1600242300193,Completed,2020-09-16,2020-09-16 00:51:09 PDT,1600242669160,2,set_1,24,9,Not at all,Quite a bit,Moderately,Quite a bit,Quite a bit,Not at all,Not at all,A little,Not at all,Quite a bit,Quite a bit,Not at all,A little,Very much so,No,Did not have to work today,0,,,,Quite a bit,Might,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-09-17/phone_promptresponse_clean_2020-09-17.csv,1,cohesiveprotractfavored,Daily,TIME,RANDOM,0,1,2020-09-17,2020-09-17 00:24:00 PDT,GMT-07:00,1600327440173,Completed,2020-09-17,2020-09-17 00:25:29 PDT,1600327529827,1,set_1,24,9,Not at all,Moderately,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Moderately,Quite a bit,No,Did not have to work today,0,,,,A little,Might,Sort of,No,,,,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-09-18/phone_promptresponse_clean_2020-09-18.csv,1,cohesiveprotractfavored,Daily,TIME,RANDOM,0,1,2020-09-18,2020-09-18 00:23:00 PDT,GMT-07:00,1600413780311,Completed,2020-09-18,2020-09-18 00:26:19 PDT,1600413979711,1,set_3,23,9,Not at all,Extremely,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,A little,Very much so,No,Did not have to work today,0,A little,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-09-18/phone_promptresponse_clean_2020-09-18.csv,23,cohesiveprotractfavored,Daily,BURST,RANDOM,23,0,2020-09-18,2020-09-18 23:17:00 PDT,GMT-07:00,1600496220172,Completed,2020-09-18,2020-09-18 23:22:04 PDT,1600496524447,2,set_2,23,9,A little,Moderately,A little,A little,A little,Not at all,Not at all,A little,Not at all,A little,Very much so,Not at all,Moderately,Quite a bit,No,Did not have to work today,0,,,,,,,,A little,Probably will,Not thought about it,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-09-20/phone_promptresponse_clean_2020-09-20.csv,1,cohesiveprotractfavored,Daily,BURST,RANDOM,0,1,2020-09-20,2020-09-20 00:22:00 PDT,GMT-07:00,1600586520249,Completed,2020-09-20,2020-09-20 00:33:39 PDT,1600587219185,2,set_1,48,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,A little,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,A little,Probably will not,Not really,but I had a goal,,,,Not really,No and I didn't have a goal,Not really,but had a goal,Not really,Not really,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,Less,Neither more nor less,Neither more nor less,Very little,Not at all,,,,
cohesiveprotractfavored@timestudy_com/2020-09-21/phone_promptresponse_clean_2020-09-21.csv,1,cohesiveprotractfavored,Daily,BURST,RANDOM,0,1,2020-09-21,2020-09-21 00:48:00 PDT,GMT-07:00,1600674480236,Completed,2020-09-21,2020-09-21 00:52:14 PDT,1600674734684,1,set_3,47,9,Not at all,Quite a bit,A little,Moderately,Quite a bit,A little,Not at all,Moderately,Not at all,Moderately,Quite a bit,Not at all,Not at all,A little,No,Did not have to work today,0,A little,Probably will not,No,,,,,,,,No,No and I didn't have a goal,No,but had a goal,No,Not really,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,Less,Neither more nor less,Neither more nor less,Very little,Not at all,,,,
cohesiveprotractfavored@timestudy_com/2020-09-22/phone_promptresponse_clean_2020-09-22.csv,1,cohesiveprotractfavored,Daily,BURST,RANDOM,0,1,2020-09-22,2020-09-22 00:27:00 PDT,GMT-07:00,1600759620221,Completed,2020-09-22,2020-09-22 00:28:17 PDT,1600759697563,1,set_2,23,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,A little,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,Quite a bit,Definitely will,Not thought about it,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-09-23/phone_promptresponse_clean_2020-09-23.csv,1,cohesiveprotractfavored,Daily,TIME,RANDOM,0,1,2020-09-23,2020-09-23 00:34:01 PDT,GMT-07:00,1600846441287,Completed,2020-09-23,2020-09-23 00:35:21 PDT,1600846521389,1,set_1,24,9,Not at all,Quite a bit,Not at all,Quite a bit,Moderately,Not at all,Not at all,Not at all,A little,Quite a bit,Very much so,Not at all,Not at all,A little,No,Did not have to work today,0,,,,Very much so,Probably will,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-09-24/phone_promptresponse_clean_2020-09-24.csv,1,cohesiveprotractfavored,Daily,TIME,RANDOM,0,1,2020-09-24,2020-09-24 00:37:00 PDT,GMT-07:00,1600933020222,Completed,2020-09-24,2020-09-24 00:38:24 PDT,1600933104846,1,set_2,23,9,Not at all,Moderately,Not at all,Moderately,Extremely,Not at all,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,Very much so,Definitely will,Not thought about it,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-09-24/phone_promptresponse_clean_2020-09-24.csv,23,cohesiveprotractfavored,Daily,TIME,RANDOM,23,0,2020-09-24,2020-09-24 23:35:00 PDT,GMT-07:00,1601015700220,Completed,2020-09-24,2020-09-24 23:41:48 PDT,1601016108652,2,set_2,23,9,Not at all,Quite a bit,Not at all,Moderately,Extremely,Not at all,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-09-26/phone_promptresponse_clean_2020-09-26.csv,1,cohesiveprotractfavored,Daily,TIME,RANDOM,0,1,2020-09-26,2020-09-26 00:29:00 PDT,GMT-07:00,1601105340205,Completed,2020-09-26,2020-09-26 00:42:38 PDT,1601106158496,2,set_4,24,9,Moderately,Not at all,Not at all,A little,Moderately,Not at all,Not at all,Moderately,Not at all,Not at all,Very much so,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Sort of,A little bit
cohesiveprotractfavored@timestudy_com/2020-09-27/phone_promptresponse_clean_2020-09-27.csv,1,cohesiveprotractfavored,Daily,TIME,RANDOM,0,1,2020-09-27,2020-09-27 00:41:00 PDT,GMT-07:00,1601192460237,Completed,2020-09-27,2020-09-27 00:49:25 PDT,1601192965888,2,set_4,48,9,Not at all,Quite a bit,Not at all,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,,,,No,No and I didn't have a goal,Not really,but had a goal,No,Not really,Quite a bit,A little,I am not experiencing viral symptoms,0 days,0 days,Less,More,Neither more nor less,Not at all,Very little,Quite a bit,Probably will,Yes,Not at all
cohesiveprotractfavored@timestudy_com/2020-09-28/phone_promptresponse_clean_2020-09-28.csv,1,cohesiveprotractfavored,Daily,TIME,RANDOM,0,1,2020-09-28,2020-09-28 00:34:00 PDT,GMT-07:00,1601278440133,Completed,2020-09-28,2020-09-28 00:42:13 PDT,1601278933686,2,set_4,47,9,Not at all,Quite a bit,Not at all,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,,,,No,No and I didn't have a goal,No,but had a goal,No,Not really,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,Less,More,Neither more nor less,Not at all,Not at all,A little,Might,No,
cohesiveprotractfavored@timestudy_com/2020-09-28/phone_promptresponse_clean_2020-09-28.csv,24,cohesiveprotractfavored,Daily,TIME,RANDOM,23,0,2020-09-28,2020-09-28 23:48:00 PDT,GMT-07:00,1601362080237,Completed,2020-09-28,2020-09-28 23:54:22 PDT,1601362462675,2,set_1,24,9,Not at all,Moderately,Not at all,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,Quite a bit,Definitely will,Yes,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-09-30/phone_promptresponse_clean_2020-09-30.csv,1,cohesiveprotractfavored,Daily,TIME,RANDOM,0,1,2020-09-30,2020-09-30 00:31:00 PDT,GMT-07:00,1601451060170,Completed,2020-09-30,2020-09-30 00:39:55 PDT,1601451595047,2,set_1,24,9,A little,Moderately,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,A little,No,Did not have to work today,0,,,,Not at all,Definitely will not,Not really,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-10-01/phone_promptresponse_clean_2020-10-01.csv,1,cohesiveprotractfavored,Daily,TIME,RANDOM,0,1,2020-10-01,2020-10-01 00:37:00 PDT,GMT-07:00,1601537820204,Completed,2020-10-01,2020-10-01 00:38:39 PDT,1601537919266,1,set_2,24,9,Not at all,Moderately,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,Very much so,Probably will not,Yes,,,,,,,,,,,,,,,,,,,,Not at all
cohesiveprotractfavored@timestudy_com/2020-10-02/phone_promptresponse_clean_2020-10-02.csv,1,cohesiveprotractfavored,Daily,BURST,RANDOM,0,1,2020-10-02,2020-10-02 00:32:00 PDT,GMT-07:00,1601623920231,Completed,2020-10-02,2020-10-02 00:35:55 PDT,1601624155495,1,set_1,24,9,Not at all,Moderately,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,A little,Not at all,Moderately,No,Did not have to work today,0,,,,Very much so,Definitely will,Yes,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,
cohesiveprotractfavored@timestudy_com/2020-10-02/phone_promptresponse_clean_2020-10-02.csv,24,cohesiveprotractfavored,Daily,BURST,RANDOM,23,0,2020-10-02,2020-10-02 23:33:00 PDT,GMT-07:00,1601706780183,Completed,2020-10-02,2020-10-02 23:34:42 PDT,1601706882795,1,set_3,23,9,Not at all,Moderately,Moderately,Moderately,Quite a bit,Not at all,Not at all,Not at all,A little,Moderately,Very much so,Not at all,Not at all,Moderately,No,No,0,Not at all,Probably will not,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
