.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage,x30_affmot_sed,x31_int_sed,x32_plan_sed,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x34_affmot_eat,x35_int_eat,x37_plan_eat,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress
kangaroozodiaccrudeness@timestudy_com/2021-04-06/phone_promptresponse_clean_2021-04-06.csv,1,kangaroozodiaccrudeness,Daily,TIME,RANDOM,0,1,2021-04-06,2021-04-06 00:37:00 EDT,GMT-04:00,1617683820140,Completed,2021-04-06,2021-04-06 00:39:45 EDT,1617683985553,1,set_2,24,9,Extremely,A little,Extremely,Not at all,Not at all,Extremely,Extremely,Extremely,Quite a bit,Not at all,Not at all,Very much so,Quite a bit,Not at all,No,Did not have to work today,0,Very much so,Might,Yes,A little bit,,,,,,,,,,,,,,,,,,,,,,,,,,
kangaroozodiaccrudeness@timestudy_com/2021-04-07/phone_promptresponse_clean_2021-04-07.csv,1,kangaroozodiaccrudeness,Daily,TIME,RANDOM,0,1,2021-04-07,2021-04-07 00:45:00 EDT,GMT-04:00,1617770700418,Completed,2021-04-07,2021-04-07 00:46:54 EDT,1617770814900,1,set_2,23,9,Not at all,Quite a bit,A little,Quite a bit,Moderately,Not at all,A little,Not at all,Not at all,Quite a bit,Quite a bit,A little,Moderately,Quite a bit,No,Did not have to work today,0,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
kangaroozodiaccrudeness@timestudy_com/2021-04-07/phone_promptresponse_clean_2021-04-07.csv,24,kangaroozodiaccrudeness,Daily,TIME,RANDOM,23,0,2021-04-07,2021-04-07 23:49:02 EDT,GMT-04:00,1617853742063,Completed,2021-04-07,2021-04-07 23:50:47 EDT,1617853847330,1,set_3,24,9,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,A little,A little,Not at all,Very much so,No,Did not have to work today,0,,,,Not at all,A little,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,
kangaroozodiaccrudeness@timestudy_com/2021-04-09/phone_promptresponse_clean_2021-04-09.csv,2,kangaroozodiaccrudeness,Daily,TIME,RANDOM,1,2,2021-04-09,2021-04-09 01:18:01 EDT,GMT-04:00,1617945481460,Completed,2021-04-09,2021-04-09 01:19:31 EDT,1617945571205,1,set_1,24,9,Not at all,Quite a bit,Moderately,Quite a bit,A little,A little,A little,Not at all,Not at all,Moderately,A little,A little,Not at all,Very much so,No,Did not have to work today,0,,,,,,,,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,
kangaroozodiaccrudeness@timestudy_com/2021-04-10/phone_promptresponse_clean_2021-04-10.csv,1,kangaroozodiaccrudeness,Daily,BURST,RANDOM,0,1,2021-04-10,2021-04-10 00:27:00 EDT,GMT-04:00,1618028820749,Completed,2021-04-10,2021-04-10 00:33:29 EDT,1618029209040,2,set_4,23,9,A little,Quite a bit,A little,Quite a bit,Moderately,A little,A little,A little,Not at all,Quite a bit,A little,A little,Not at all,Very much so,No,Did not have to work today,0,,,,,,,,,,,,Very much so,Definitely will,Sort of,,,,,,,,,,,,,,,,
kangaroozodiaccrudeness@timestudy_com/2021-04-11/phone_promptresponse_clean_2021-04-11.csv,2,kangaroozodiaccrudeness,Daily,BURST,RANDOM,1,2,2021-04-11,2021-04-11 01:35:00 EDT,GMT-04:00,1618119300238,Completed,2021-04-11,2021-04-11 01:40:37 EDT,1618119637279,2,set_1,48,9,Not at all,Quite a bit,Moderately,Quite a bit,Moderately,A little,A little,A little,Not at all,Very much so,A little,A little,Moderately,Quite a bit,No,Did not have to work today,0,,,,,,,,Very much so,Definitely will,Sort of,Yes,,,,Sort of,Yes,No,but had a goal,Sort of,Yes,Not at all,Quite a bit,I am not experiencing viral symptoms,2 days,0 days,Less,Less,Neither more nor less,Moderate,Very little
kangaroozodiaccrudeness@timestudy_com/2021-04-12/phone_promptresponse_clean_2021-04-12.csv,1,kangaroozodiaccrudeness,Daily,BURST,RANDOM,1,2,2021-04-12,2021-04-12 01:24:00 EDT,GMT-04:00,1618205040305,Completed,2021-04-12,2021-04-12 01:29:15 EDT,1618205355683,2,set_2,48,9,A little,Quite a bit,A little,Quite a bit,A little,A little,Moderately,A little,Not at all,Quite a bit,Moderately,A little,Not at all,Moderately,No,Did not have to work today,0,Very much so,Probably will not,Yes,,,,,,,,,,,,Sort of,Yes,Not really,but had a goal,Not really,Sort of,Not at all,A little,I am not experiencing viral symptoms,2 days,0 days,More,Neither more nor less,Neither more nor less,Moderate,Very little
kangaroozodiaccrudeness@timestudy_com/2021-04-13/phone_promptresponse_clean_2021-04-13.csv,1,kangaroozodiaccrudeness,Daily,BURST,RANDOM,0,1,2021-04-13,2021-04-13 00:31:03 EDT,GMT-04:00,1618288263059,Completed,2021-04-13,2021-04-13 00:33:09 EDT,1618288389680,1,set_3,23,9,Not at all,Quite a bit,A little,Quite a bit,A little,A little,A little,Not at all,Not at all,Quite a bit,A little,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,
kangaroozodiaccrudeness@timestudy_com/2021-04-14/phone_promptresponse_clean_2021-04-14.csv,2,kangaroozodiaccrudeness,Daily,TIME,RANDOM,1,2,2021-04-14,2021-04-14 01:10:01 EDT,GMT-04:00,1618377001848,Completed,2021-04-14,2021-04-14 01:11:28 EDT,1618377088532,1,set_3,24,9,Not at all,Quite a bit,A little,Extremely,Quite a bit,A little,A little,A little,Not at all,Very much so,A little,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,Not at all,Very much so,Probably will,Not really,,,,,,,,,,,,,,,,,,,,,,,
kangaroozodiaccrudeness@timestudy_com/2021-04-15/phone_promptresponse_clean_2021-04-15.csv,2,kangaroozodiaccrudeness,Daily,TIME,RANDOM,1,2,2021-04-15,2021-04-15 01:30:01 EDT,GMT-04:00,1618464601855,Completed,2021-04-15,2021-04-15 01:57:34 EDT,1618466254961,2,set_4,23,9,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,A little,A little,Not at all,Not at all,Very much so,A little,Not at all,Not at all,Very much so,No,Did not have to work today,0,,,,,,,,,,,,Very much so,Definitely will,Sort of,,,,,,,,,,,,,,,,
