.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x34_affmot_eat,x35_int_eat,x37_plan_eat,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x30_affmot_sed,x31_int_sed,x32_plan_sed,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x55_engage
retrievergeckoabroad@timestudy_com/2021-07-27/phone_promptresponse_clean_2021-07-27.csv,4,retrievergeckoabroad,Daily,TIME,RANDOM,21,22,2021-07-27,2021-07-27 21:47:00 EDT,GMT-04:00,1627436820277,Completed,2021-07-27,2021-07-27 22:27:15 EDT,1627439235663,2,set_4,23,9,A little,Moderately,A little,A little,A little,Moderately,Moderately,A little,A little,Quite a bit,Moderately,Moderately,A little,Moderately,No,No,0,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
retrievergeckoabroad@timestudy_com/2021-07-28/phone_promptresponse_clean_2021-07-28.csv,183,retrievergeckoabroad,Daily,TIME,RANDOM,22,23,2021-07-28,2021-07-28 22:40:00 EDT,GMT-04:00,1627526400183,Completed,2021-07-28,2021-07-28 22:59:28 EDT,1627527568244,2,set_2,23,9,Not at all,Quite a bit,Quite a bit,Moderately,A little,A little,A little,Not at all,Not at all,Quite a bit,Moderately,A little,Moderately,A little,No,No,0,,,,Quite a bit,Definitely will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,
retrievergeckoabroad@timestudy_com/2021-07-29/phone_promptresponse_clean_2021-07-29.csv,25,retrievergeckoabroad,Daily,TIME,RANDOM,23,0,2021-07-29,2021-07-29 23:34:00 EDT,GMT-04:00,1627616040219,Completed,2021-07-29,2021-07-29 23:41:17 EDT,1627616477059,2,set_3,23,9,A little,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,A little,Moderately,Not at all,A little,Quite a bit,Quite a bit,Moderately,A little,No,No,0,,,,,,,Not at all,Probably will not,No,,,,,,,,,,,,,,,,,,,,,
retrievergeckoabroad@timestudy_com/2021-07-30/phone_promptresponse_clean_2021-07-30.csv,26,retrievergeckoabroad,Daily,TIME,RANDOM,23,0,2021-07-30,2021-07-30 23:48:00 EDT,GMT-04:00,1627703280230,Completed,2021-07-30,2021-07-30 23:53:50 EDT,1627703630489,2,set_1,24,9,A little,Moderately,A little,Quite a bit,A little,Moderately,A little,Moderately,A little,Quite a bit,A little,A little,Not at all,Moderately,No,No,0,,,,,,,,,,Quite a bit,Probably will,Yes,Yes,,,,,,,,,,,,,,,,,
retrievergeckoabroad@timestudy_com/2021-07-31/phone_promptresponse_clean_2021-07-31.csv,23,retrievergeckoabroad,Daily,BURST,RANDOM,22,23,2021-07-31,2021-07-31 22:48:00 EDT,GMT-04:00,1627786080182,Completed,2021-07-31,2021-07-31 22:49:24 EDT,1627786164495,1,set_1,24,9,Not at all,Extremely,Moderately,Quite a bit,Quite a bit,A little,A little,A little,Not at all,Moderately,A little,A little,A little,A little,No,Did not have to work today,0,,,,,,,,,,Quite a bit,Might,No,but I had a goal,,,,,,,,,,,,,,,,,
retrievergeckoabroad@timestudy_com/2021-08-01/phone_promptresponse_clean_2021-08-01.csv,25,retrievergeckoabroad,Daily,BURST,RANDOM,23,0,2021-08-01,2021-08-01 23:24:00 EDT,GMT-04:00,1627874640159,Completed,2021-08-01,2021-08-01 23:31:08 EDT,1627875068724,2,set_4,47,9,A little,Quite a bit,Moderately,Moderately,Quite a bit,A little,Not at all,A little,A little,A little,Moderately,A little,A little,A little,No,Did not have to work today,0,Very much so,Probably will,Not really,,,,,,,,,,,Sort of,Yes,Yes,No,No,Sort of,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,More,Neither more nor less,Very little,Very little,
retrievergeckoabroad@timestudy_com/2021-08-02/phone_promptresponse_clean_2021-08-02.csv,22,retrievergeckoabroad,Daily,BURST,RANDOM,22,23,2021-08-02,2021-08-02 22:33:00 EDT,GMT-04:00,1627957980300,Completed,2021-08-02,2021-08-02 22:37:34 EDT,1627958254623,1,set_4,24,9,A little,A little,A little,A little,Moderately,A little,Not at all,A little,A little,A little,A little,A little,A little,Not at all,No,No,0,Very much so,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat
retrievergeckoabroad@timestudy_com/2021-08-03/phone_promptresponse_clean_2021-08-03.csv,23,retrievergeckoabroad,Daily,BURST,RANDOM,22,23,2021-08-03,2021-08-03 22:10:00 EDT,GMT-04:00,1628043000885,Completed,2021-08-03,2021-08-03 22:12:10 EDT,1628043130051,1,set_3,23,9,A little,Moderately,A little,Moderately,Moderately,A little,A little,A little,A little,Moderately,A little,Moderately,Moderately,Moderately,No,No,0,,,,,,,A little,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,
retrievergeckoabroad@timestudy_com/2021-08-04/phone_promptresponse_clean_2021-08-04.csv,78,retrievergeckoabroad,Daily,TIME,RANDOM,22,23,2021-08-04,2021-08-04 22:46:00 EDT,GMT-04:00,1628131560211,Completed,2021-08-04,2021-08-04 23:09:41 EDT,1628132981382,2,set_4,23,9,A little,Moderately,A little,Moderately,Moderately,A little,A little,A little,A little,Moderately,A little,Moderately,Moderately,Moderately,No,No,0,Quite a bit,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
retrievergeckoabroad@timestudy_com/2021-08-05/phone_promptresponse_clean_2021-08-05.csv,24,retrievergeckoabroad,Daily,TIME,RANDOM,23,0,2021-08-05,2021-08-05 23:42:00 EDT,GMT-04:00,1628221320501,Completed,2021-08-05,2021-08-05 23:43:34 EDT,1628221414961,1,set_3,23,9,A little,Moderately,Moderately,Moderately,A little,Moderately,Moderately,Moderately,A little,A little,Quite a bit,Quite a bit,Quite a bit,A little,Not sure,No,0,,,,,,,A little,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,
