.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x30_affmot_sed,x31_int_sed,x32_plan_sed,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x34_affmot_eat,x35_int_eat,x37_plan_eat
rangerchildlikequantum@timestudy_com/2020-10-21/phone_promptresponse_clean_2020-10-21.csv,5,rangerchildlikequantum,Daily,TIME,RANDOM,20,21,2020-10-21,2020-10-21 20:29:00 PDT,GMT-07:00,1603337340876,Completed,2020-10-21,2020-10-21 20:30:41 PDT,1603337441695,1,set_3,23,9,Not at all,Quite a bit,A little,Quite a bit,Moderately,A little,Moderately,Not at all,A little,Quite a bit,Moderately,Moderately,A little,Quite a bit,No,No,0,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangerchildlikequantum@timestudy_com/2020-10-22/phone_promptresponse_clean_2020-10-22.csv,34,rangerchildlikequantum,Daily,TIME,RANDOM,19,20,2020-10-22,2020-10-22 19:42:00 PDT,GMT-07:00,1603420920187,Completed,2020-10-22,2020-10-22 19:43:25 PDT,1603421005216,1,set_1,24,9,Not at all,Extremely,A little,Quite a bit,Quite a bit,A little,A little,Not at all,A little,Moderately,Quite a bit,A little,Not at all,Quite a bit,No,No,0,,,,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
rangerchildlikequantum@timestudy_com/2020-10-23/phone_promptresponse_clean_2020-10-23.csv,20,rangerchildlikequantum,Daily,TIME,RANDOM,19,20,2020-10-23,2020-10-23 19:26:00 PDT,GMT-07:00,1603506360152,Completed,2020-10-23,2020-10-23 20:07:56 PDT,1603508876010,2,set_1,24,9,A little,Moderately,A little,A little,Not at all,Moderately,Moderately,A little,A little,Not at all,A little,Moderately,Quite a bit,A little,No,No,0,,,,A little,Probably will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
rangerchildlikequantum@timestudy_com/2020-10-24/phone_promptresponse_clean_2020-10-24.csv,23,rangerchildlikequantum,Daily,BURST,RANDOM,20,21,2020-10-24,2020-10-24 20:42:57 PDT,GMT-07:00,1603597377216,Completed,2020-10-24,2020-10-24 20:44:12 PDT,1603597452433,1,set_2,24,9,A little,Moderately,A little,Moderately,Moderately,A little,Moderately,A little,Not at all,Quite a bit,Moderately,A little,A little,Quite a bit,No,No,0,,,,,,,,A little,Probably will,Trying to decide,A little bit,,,,,,,,,,,,,,,,,,,
rangerchildlikequantum@timestudy_com/2020-10-25/phone_promptresponse_clean_2020-10-25.csv,22,rangerchildlikequantum,Daily,BURST,RANDOM,21,22,2020-10-25,2020-10-25 21:15:00 PDT,GMT-07:00,1603685700222,Completed,2020-10-25,2020-10-25 21:19:19 PDT,1603685959605,1,set_3,47,9,A little,Quite a bit,A little,Moderately,Moderately,A little,A little,A little,A little,Quite a bit,Quite a bit,A little,Moderately,Moderately,No,No,0,Quite a bit,Probably will,Sort of,,,,,,,,,Yes,Yes,Sort of,No,Sort of,Sort of,A little,Not at all,I am not experiencing viral symptoms,3 days,0 days,More,More,Neither more nor less,Moderate,Moderate,,,
rangerchildlikequantum@timestudy_com/2020-10-26/phone_promptresponse_clean_2020-10-26.csv,20,rangerchildlikequantum,Daily,BURST,RANDOM,19,20,2020-10-26,2020-10-26 19:38:00 PDT,GMT-07:00,1603766280173,Completed,2020-10-26,2020-10-26 19:39:26 PDT,1603766366128,1,set_1,25,9,Not at all,Quite a bit,A little,Quite a bit,Moderately,A little,A little,Not at all,A little,Quite a bit,Moderately,A little,A little,Quite a bit,No,No,0,,,,Very much so,Definitely will,Yes,Yes,,,,Somewhat,,,,,,,,,,,,,,,,,,,
rangerchildlikequantum@timestudy_com/2020-10-27/phone_promptresponse_clean_2020-10-27.csv,22,rangerchildlikequantum,Daily,BURST,RANDOM,21,22,2020-10-27,2020-10-27 21:13:00 PDT,GMT-07:00,1603858380231,Completed,2020-10-27,2020-10-27 21:14:08 PDT,1603858448344,1,set_3,23,9,A little,Quite a bit,A little,Quite a bit,Moderately,A little,A little,A little,A little,Quite a bit,Quite a bit,A little,A little,Moderately,No,No,0,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
rangerchildlikequantum@timestudy_com/2020-10-28/phone_promptresponse_clean_2020-10-28.csv,20,rangerchildlikequantum,Daily,TIME,RANDOM,19,20,2020-10-28,2020-10-28 19:24:00 PDT,GMT-07:00,1603938240184,Completed,2020-10-28,2020-10-28 19:25:14 PDT,1603938314858,1,set_2,23,9,A little,Moderately,A little,Moderately,A little,A little,Moderately,A little,A little,Quite a bit,Moderately,A little,A little,Moderately,No,No,0,,,,,,,,A little,Probably will not,Trying to decide,,,,,,,,,,,,,,,,,,,,
rangerchildlikequantum@timestudy_com/2020-10-29/phone_promptresponse_clean_2020-10-29.csv,23,rangerchildlikequantum,Daily,TIME,RANDOM,22,23,2020-10-29,2020-10-29 22:16:02 PDT,GMT-07:00,1604034962649,Completed,2020-10-29,2020-10-29 22:17:18 PDT,1604035038192,1,set_1,25,9,A little,Moderately,A little,Moderately,A little,Moderately,Moderately,A little,A little,Moderately,Moderately,A little,A little,Moderately,No,No,0,,,,Very much so,Definitely will,Yes,Maybe,,,,A little bit,,,,,,,,,,,,,,,,,,,
rangerchildlikequantum@timestudy_com/2020-10-30/phone_promptresponse_clean_2020-10-30.csv,21,rangerchildlikequantum,Daily,TIME,RANDOM,21,22,2020-10-30,2020-10-30 21:22:00 PDT,GMT-07:00,1604118120170,Completed,2020-10-30,2020-10-30 21:23:13 PDT,1604118193217,1,set_3,23,9,Not at all,Quite a bit,A little,Quite a bit,Moderately,A little,A little,Not at all,A little,Quite a bit,Quite a bit,A little,A little,Quite a bit,No,No,0,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
