.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x30_affmot_sed,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x34_affmot_eat,x35_int_eat,x37_plan_eat,x31_int_sed,x32_plan_sed,x38_covid_lonely,x39_covid_health,x40_viralsymp,x55_engage
faucetsquealingcatapult@timestudy_com/2020-07-14/phone_promptresponse_clean_2020-07-14.csv,1,faucetsquealingcatapult,Daily,TIME,RANDOM,18,19,2020-07-14,2020-07-14 18:14:00 MDT,GMT-06:00,1594772040129,Completed,2020-07-14,2020-07-14 18:29:16 MDT,1594772956200,2,set_1,27,8,Not at all,Moderately,A little,Moderately,Quite a bit,A little,A little,A little,A little,Quite a bit,Very much so,A little,Not at all,Quite a bit,No,No,0,Very much so,Probably will,Sort of,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
faucetsquealingcatapult@timestudy_com/2020-07-15/phone_promptresponse_clean_2020-07-15.csv,24,faucetsquealingcatapult,Daily,TIME,RANDOM,22,23,2020-07-15,2020-07-15 22:48:00 MDT,GMT-06:00,1594874880115,Completed,2020-07-15,2020-07-15 22:53:50 MDT,1594875230716,2,set_3,22,8,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,Not at all,A little,A little,A little,Quite a bit,Quite a bit,Not at all,A little,Quite a bit,No,No,0,,,,,A little,,,,,,,,,,,,,,,,,,,,,,,,,
faucetsquealingcatapult@timestudy_com/2020-07-16/phone_promptresponse_clean_2020-07-16.csv,24,faucetsquealingcatapult,Daily,TIME,RANDOM,23,0,2020-07-16,2020-07-16 23:49:00 MDT,GMT-06:00,1594964940193,Completed,2020-07-16,2020-07-16 23:51:41 MDT,1594965101881,1,set_2,24,8,Not at all,Extremely,A little,Quite a bit,Quite a bit,A little,A little,Not at all,A little,Quite a bit,Very much so,A little,A little,Quite a bit,No,No,0,,,,,,Quite a bit,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,
faucetsquealingcatapult@timestudy_com/2020-07-18/phone_promptresponse_clean_2020-07-18.csv,1,faucetsquealingcatapult,Daily,TIME,RANDOM,23,0,2020-07-17,2020-07-17 23:42:00 MDT,GMT-06:00,1595050920122,Completed,2020-07-18,2020-07-18 00:17:36 MDT,1595053056299,2,set_1,25,8,Not at all,Quite a bit,Not at all,Quite a bit,Quite a bit,Not at all,A little,A little,A little,Moderately,Very much so,A little,Not at all,Quite a bit,No,Did not have to work today,0,Quite a bit,Might,Not really,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
faucetsquealingcatapult@timestudy_com/2020-07-18/phone_promptresponse_clean_2020-07-18.csv,24,faucetsquealingcatapult,Daily,BURST,RANDOM,23,0,2020-07-18,2020-07-18 23:17:00 MDT,GMT-06:00,1595135820122,Completed,2020-07-18,2020-07-18 23:18:22 MDT,1595135902978,1,set_1,25,8,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,A little,A little,A little,Not at all,Quite a bit,Very much so,A little,Not at all,Quite a bit,No,Did not have to work today,0,Quite a bit,Probably will,Sort of,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
faucetsquealingcatapult@timestudy_com/2020-07-19/phone_promptresponse_clean_2020-07-19.csv,21,faucetsquealingcatapult,Daily,BURST,RANDOM,22,23,2020-07-19,2020-07-19 22:20:00 MDT,GMT-06:00,1595218800093,Completed,2020-07-19,2020-07-19 22:30:10 MDT,1595219410373,2,set_3,45,8,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,A little,A little,A little,A little,Moderately,Very much so,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,,Quite a bit,,,,Sort of,Yes,Yes,Yes,Not really,Sort of,0 days,0 days,More,More,Neither more nor less,Moderate,Moderate,,,,,,,,,
faucetsquealingcatapult@timestudy_com/2020-07-20/phone_promptresponse_clean_2020-07-20.csv,23,faucetsquealingcatapult,Daily,BURST,RANDOM,22,23,2020-07-20,2020-07-20 22:44:00 MDT,GMT-06:00,1595306640122,Completed,2020-07-20,2020-07-20 22:45:44 MDT,1595306744852,1,set_2,24,8,Not at all,Quite a bit,A little,Moderately,Quite a bit,Not at all,A little,A little,Not at all,Quite a bit,Very much so,Not at all,Not at all,Moderately,No,No,0,,,,,,Quite a bit,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,
faucetsquealingcatapult@timestudy_com/2020-07-21/phone_promptresponse_clean_2020-07-21.csv,23,faucetsquealingcatapult,Daily,BURST,RANDOM,22,23,2020-07-21,2020-07-21 22:45:00 MDT,GMT-06:00,1595393100125,Completed,2020-07-21,2020-07-21 22:47:14 MDT,1595393234682,1,set_1,25,8,Not at all,Quite a bit,A little,Quite a bit,Moderately,Not at all,A little,A little,Not at all,Very much so,Very much so,Not at all,Not at all,Quite a bit,No,No,0,Quite a bit,Probably will,Not really,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
faucetsquealingcatapult@timestudy_com/2020-07-22/phone_promptresponse_clean_2020-07-22.csv,23,faucetsquealingcatapult,Daily,TIME,RANDOM,22,23,2020-07-22,2020-07-22 22:27:00 MDT,GMT-06:00,1595478420070,Completed,2020-07-22,2020-07-22 22:37:45 MDT,1595479065222,2,set_3,22,8,Not at all,Quite a bit,A little,Moderately,Moderately,A little,A little,A little,A little,Quite a bit,Very much so,Not at all,A little,Not at all,No,No,0,,,,,A little,,,,,,,,,,,,,,,,,,,,,,,,,
faucetsquealingcatapult@timestudy_com/2020-07-23/phone_promptresponse_clean_2020-07-23.csv,23,faucetsquealingcatapult,Daily,TIME,RANDOM,22,23,2020-07-23,2020-07-23 22:35:00 MDT,GMT-06:00,1595565300051,Completed,2020-07-23,2020-07-23 22:37:25 MDT,1595565445566,1,set_2,24,9,Not at all,Extremely,A little,Quite a bit,Quite a bit,A little,A little,A little,Not at all,Quite a bit,Very much so,Not at all,Not at all,A little,No,No,0,,,,,,A little,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,
