.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x30_affmot_sed,x31_int_sed,x32_plan_sed,x34_affmot_eat,x35_int_eat,x37_plan_eat,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x38_covid_lonely,x39_covid_health,x40_viralsymp,x55_engage
resupplyclappingyahoo@timestudy_com/2020-07-24/phone_promptresponse_clean_2020-07-24.csv,7,resupplyclappingyahoo,Daily,TIME,RANDOM,21,22,2020-07-24,2020-07-24 21:49:00 PDT,GMT-07:00,1595652540116,Completed,2020-07-24,2020-07-24 22:08:40 PDT,1595653720917,2,set_3,24,9,Not at all,Moderately,A little,Moderately,Quite a bit,A little,Not at all,Not at all,Not at all,A little,Quite a bit,Not at all,A little,Very much so,No,No,0,Quite a bit,Probably will,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
resupplyclappingyahoo@timestudy_com/2020-07-25/phone_promptresponse_clean_2020-07-25.csv,22,resupplyclappingyahoo,Daily,TIME,RANDOM,21,22,2020-07-25,2020-07-25 21:34:00 PDT,GMT-07:00,1595738040090,Completed,2020-07-25,2020-07-25 21:36:14 PDT,1595738174076,1,set_4,24,9,Not at all,Moderately,Not at all,Moderately,Moderately,A little,Not at all,Moderately,Not at all,Quite a bit,Moderately,Moderately,Not at all,Very much so,No,No,0,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,
resupplyclappingyahoo@timestudy_com/2020-07-26/phone_promptresponse_clean_2020-07-26.csv,23,resupplyclappingyahoo,Daily,TIME,RANDOM,22,23,2020-07-26,2020-07-26 22:26:00 PDT,GMT-07:00,1595827560112,Completed,2020-07-26,2020-07-26 22:30:14 PDT,1595827814779,1,set_3,47,9,Not at all,Quite a bit,Not at all,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Very much so,No,No,0,Quite a bit,Might,Not really,,,,Yes,Yes,Yes,Yes,Sort of,Sort of,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Very little,Not at all,,,,,,,,,,,
resupplyclappingyahoo@timestudy_com/2020-07-27/phone_promptresponse_clean_2020-07-27.csv,23,resupplyclappingyahoo,Daily,TIME,RANDOM,22,23,2020-07-27,2020-07-27 22:20:00 PDT,GMT-07:00,1595913600113,Completed,2020-07-27,2020-07-27 22:21:27 PDT,1595913687632,1,set_4,24,9,Not at all,Moderately,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Moderately,Not at all,Not at all,Very much so,No,No,0,,,,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
resupplyclappingyahoo@timestudy_com/2020-07-28/phone_promptresponse_clean_2020-07-28.csv,22,resupplyclappingyahoo,Daily,TIME,RANDOM,22,23,2020-07-28,2020-07-28 22:29:00 PDT,GMT-07:00,1596000540123,Completed,2020-07-28,2020-07-28 22:30:11 PDT,1596000611894,1,set_4,24,9,Not at all,Quite a bit,Not at all,Quite a bit,Quite a bit,Not at all,A little,Not at all,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Very much so,No,No,0,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,
resupplyclappingyahoo@timestudy_com/2020-07-29/phone_promptresponse_clean_2020-07-29.csv,22,resupplyclappingyahoo,Daily,TIME,RANDOM,21,22,2020-07-29,2020-07-29 21:30:00 PDT,GMT-07:00,1596083400132,Completed,2020-07-29,2020-07-29 21:31:00 PDT,1596083460157,1,set_4,24,9,Not at all,Extremely,Not at all,Quite a bit,Quite a bit,A little,A little,A little,Not at all,Quite a bit,Moderately,Not at all,Not at all,Very much so,No,No,0,,,,Very much so,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,
resupplyclappingyahoo@timestudy_com/2020-07-30/phone_promptresponse_clean_2020-07-30.csv,22,resupplyclappingyahoo,Daily,BURST,RANDOM,21,22,2020-07-30,2020-07-30 21:32:00 PDT,GMT-07:00,1596169920106,Completed,2020-07-30,2020-07-30 21:33:01 PDT,1596169981327,1,set_2,24,9,Not at all,Quite a bit,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Trying to decide,,,,,,,,
resupplyclappingyahoo@timestudy_com/2020-07-31/phone_promptresponse_clean_2020-07-31.csv,23,resupplyclappingyahoo,Daily,BURST,RANDOM,22,23,2020-07-31,2020-07-31 22:39:00 PDT,GMT-07:00,1596260340095,Completed,2020-07-31,2020-07-31 22:40:15 PDT,1596260415156,1,set_3,24,9,Not at all,Extremely,Not at all,Extremely,Moderately,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Very much so,No,No,0,A little,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
resupplyclappingyahoo@timestudy_com/2020-08-01/phone_promptresponse_clean_2020-08-01.csv,22,resupplyclappingyahoo,Daily,BURST,RANDOM,22,23,2020-08-01,2020-08-01 22:40:00 PDT,GMT-07:00,1596346800110,Completed,2020-08-01,2020-08-01 22:46:37 PDT,1596347197546,2,set_3,24,9,Not at all,Extremely,Not at all,Quite a bit,Moderately,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Very much so,No,No,0,A little,Probably will,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
resupplyclappingyahoo@timestudy_com/2020-08-02/phone_promptresponse_clean_2020-08-02.csv,22,resupplyclappingyahoo,Daily,BURST,RANDOM,21,22,2020-08-02,2020-08-02 21:31:00 PDT,GMT-07:00,1596429060086,Completed,2020-08-02,2020-08-02 21:34:06 PDT,1596429246869,1,set_1,48,9,Not at all,Extremely,A little,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,A little,Not at all,Very much so,No,No,0,,,,,,,Yes,Yes,Not really,Maybe,Not really,Sort of,3 days,0 days,Neither more nor less,More,Neither more nor less,Moderate,Not at all,,,,Very much so,Definitely will,Yes,Maybe,,,,
