.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x34_affmot_eat,x35_int_eat,x37_plan_eat,x55_engage,x30_affmot_sed,x31_int_sed,x32_plan_sed,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress
erasuresafeguardravishing@timestudy_com/2021-04-18/phone_promptresponse_clean_2021-04-18.csv,4,erasuresafeguardravishing,Daily,TIME,RANDOM,23,0,2021-04-18,2021-04-18 23:23:00 EDT,GMT-04:00,1618802580136,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erasuresafeguardravishing@timestudy_com/2021-04-20/phone_promptresponse_clean_2021-04-20.csv,1,erasuresafeguardravishing,Daily,TIME,RANDOM,22,23,2021-04-19,2021-04-19 22:10:00 EDT,GMT-04:00,1618884600131,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erasuresafeguardravishing@timestudy_com/2021-04-21/phone_promptresponse_clean_2021-04-21.csv,1,erasuresafeguardravishing,Daily,TIME,RANDOM,22,23,2021-04-20,2021-04-20 22:10:00 EDT,GMT-04:00,1618971000300,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erasuresafeguardravishing@timestudy_com/2021-04-21/phone_promptresponse_clean_2021-04-21.csv,23,erasuresafeguardravishing,Daily,TIME,RANDOM,21,22,2021-04-21,2021-04-21 21:23:00 EDT,GMT-04:00,1619054580130,Completed,2021-04-21,2021-04-21 21:25:10 EDT,1619054710790,1,set_1,24,9,A little,Moderately,Quite a bit,A little,Moderately,A little,A little,Not at all,Not at all,Moderately,Not at all,Very much so,Quite a bit,Quite a bit,No,No,0,Very much so,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
erasuresafeguardravishing@timestudy_com/2021-04-22/phone_promptresponse_clean_2021-04-22.csv,23,erasuresafeguardravishing,Daily,BURST,RANDOM,21,22,2021-04-22,2021-04-22 21:35:00 EDT,GMT-04:00,1619141700130,Completed,2021-04-22,2021-04-22 21:40:34 EDT,1619142034733,2,set_4,24,9,A little,Quite a bit,A little,Moderately,Moderately,A little,A little,Not at all,A little,Moderately,Not at all,Quite a bit,A little,Moderately,No,Did not have to work today,0,,,,,A little,Might,Sort of,Extremely,,,,,,,,,,,,,,,,,,,,,,
erasuresafeguardravishing@timestudy_com/2021-04-23/phone_promptresponse_clean_2021-04-23.csv,22,erasuresafeguardravishing,Daily,BURST,RANDOM,21,22,2021-04-23,2021-04-23 21:27:00 EDT,GMT-04:00,1619227620139,Completed,2021-04-23,2021-04-23 21:31:38 EDT,1619227898577,1,set_3,24,9,Moderately,A little,A little,A little,A little,Moderately,Moderately,Not at all,A little,Moderately,A little,Moderately,Moderately,Quite a bit,No,No,0,,,,,,,,,A little,Probably will,Yes,,,,,,,,,,,,,,,,,,,
erasuresafeguardravishing@timestudy_com/2021-04-24/phone_promptresponse_clean_2021-04-24.csv,23,erasuresafeguardravishing,Daily,BURST,RANDOM,21,22,2021-04-24,2021-04-24 21:11:00 EDT,GMT-04:00,1619313060100,Completed,2021-04-24,2021-04-24 21:12:49 EDT,1619313169495,1,set_1,25,9,Moderately,A little,A little,A little,Moderately,A little,A little,Not at all,A little,Moderately,Moderately,Moderately,A little,Moderately,No,Did not have to work today,0,Very much so,Definitely will,Yes,Yes,,,,Extremely,,,,,,,,,,,,,,,,,,,,,,
erasuresafeguardravishing@timestudy_com/2021-04-25/phone_promptresponse_clean_2021-04-25.csv,10,erasuresafeguardravishing,Daily,BURST,RANDOM,8,9,2021-04-25,2021-04-25 08:17:00 EDT,GMT-04:00,1619353020136,NeverStarted,,,,,set_3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erasuresafeguardravishing@timestudy_com/2021-04-25/phone_promptresponse_clean_2021-04-25.csv,24,erasuresafeguardravishing,Daily,BURST,RANDOM,22,23,2021-04-25,2021-04-25 22:26:00 EDT,GMT-04:00,1619403960143,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erasuresafeguardravishing@timestudy_com/2021-04-27/phone_promptresponse_clean_2021-04-27.csv,1,erasuresafeguardravishing,Daily,TIME,RANDOM,22,23,2021-04-26,2021-04-26 22:45:00 EDT,GMT-04:00,1619491500099,NeverStarted,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
