.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x30_affmot_sed,x31_int_sed,x32_plan_sed,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x34_affmot_eat,x35_int_eat,x36_goal_eat,x37_plan_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress
headwearskirmishantidote@timestudy_com/2021-06-24/phone_promptresponse_clean_2021-06-24.csv,10,headwearskirmishantidote,Daily,BURST,RANDOM,22,23,2021-06-24,2021-06-24 22:33:00 CDT,GMT-05:00,1624591980111,Completed,2021-06-24,2021-06-24 22:50:53 CDT,1624593053039,2,set_3,23,9,Not at all,Moderately,A little,A little,Moderately,A little,Moderately,A little,Not at all,Moderately,Moderately,A little,A little,Quite a bit,No,No,0,Not at all,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-06-25/phone_promptresponse_clean_2021-06-25.csv,24,headwearskirmishantidote,Daily,BURST,RANDOM,23,0,2021-06-25,2021-06-25 23:38:00 CDT,GMT-05:00,1624682280139,Completed,2021-06-25,2021-06-25 23:39:52 CDT,1624682392189,1,set_2,24,9,Not at all,Moderately,A little,Moderately,Quite a bit,A little,A little,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Quite a bit,No,Did not have to work today,0,,,,Quite a bit,Definitely will,Yes,A little bit,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-06-26/phone_promptresponse_clean_2021-06-26.csv,26,headwearskirmishantidote,Daily,BURST,RANDOM,23,0,2021-06-26,2021-06-26 23:36:31 CDT,GMT-05:00,1624768591106,Completed,2021-06-26,2021-06-26 23:49:15 CDT,1624769355956,2,set_1,25,9,A little,Moderately,Not at all,Moderately,Moderately,A little,Not at all,A little,Not at all,Moderately,Quite a bit,A little,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,Quite a bit,Definitely will,Yes,but I had a goal,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-06-27/phone_promptresponse_clean_2021-06-27.csv,26,headwearskirmishantidote,Daily,BURST,RANDOM,23,0,2021-06-27,2021-06-27 23:45:00 CDT,GMT-05:00,1624855500111,Completed,2021-06-27,2021-06-27 23:48:49 CDT,1624855729799,1,set_4,48,9,A little,Quite a bit,Moderately,Quite a bit,Moderately,Moderately,A little,Not at all,A little,Quite a bit,Quite a bit,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,,,,,Sort of,Yes,Sort of,Yes,Not really,Quite a bit,Probably will,Sort of,Sort of,Not at all,Not at all,I am not experiencing viral symptoms,0 days,5 or more days,Less,More,Neither more nor less,Moderate,Moderate
headwearskirmishantidote@timestudy_com/2021-06-28/phone_promptresponse_clean_2021-06-28.csv,25,headwearskirmishantidote,Daily,TIME,RANDOM,19,20,2021-06-28,2021-06-28 19:20:46 CDT,GMT-05:00,1624926046044,Completed,2021-06-28,2021-06-28 19:22:13 CDT,1624926133021,1,set_1,28,9,Not at all,Quite a bit,A little,Moderately,Moderately,Not at all,Not at all,A little,Not at all,Moderately,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,Not at all,Quite a bit,Definitely will,Yes,Yes,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-06-30/phone_promptresponse_clean_2021-06-30.csv,1,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-06-29,2021-06-29 23:46:01 CDT,GMT-05:00,1625028361412,Completed,2021-06-30,2021-06-30 00:20:32 CDT,1625030432029,2,set_2,23,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,Not at all,A little,Not at all,Moderately,Quite a bit,A little,Not at all,Quite a bit,No,Did not have to work today,0,,,,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-06-30/phone_promptresponse_clean_2021-06-30.csv,23,headwearskirmishantidote,Daily,TIME,RANDOM,22,23,2021-06-30,2021-06-30 22:33:00 CDT,GMT-05:00,1625110380165,Completed,2021-06-30,2021-06-30 22:42:56 CDT,1625110976120,2,set_4,23,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Moderately,No,Did not have to work today,0,,,,,,,,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-02/phone_promptresponse_clean_2021-07-02.csv,1,headwearskirmishantidote,Daily,TIME,RANDOM,22,23,2021-07-01,2021-07-01 22:36:00 CDT,GMT-05:00,1625196960177,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-03/phone_promptresponse_clean_2021-07-03.csv,1,headwearskirmishantidote,Daily,TIME,RANDOM,0,1,2021-07-03,2021-07-03 00:32:00 CDT,GMT-05:00,1625290320162,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-03/phone_promptresponse_clean_2021-07-03.csv,24,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-03,2021-07-03 23:36:00 CDT,GMT-05:00,1625373360165,Completed,2021-07-03,2021-07-03 23:37:09 CDT,1625373429656,1,set_4,24,9,Not at all,Extremely,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,,,Not at all,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-04/phone_promptresponse_clean_2021-07-04.csv,23,headwearskirmishantidote,Daily,TIME,RANDOM,22,23,2021-07-04,2021-07-04 22:46:00 CDT,GMT-05:00,1625456760167,Completed,2021-07-04,2021-07-04 23:04:13 CDT,1625457853683,2,set_2,49,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,A little,A little,Not at all,Moderately,Quite a bit,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,A little,Might,Trying to decide,A little bit,,,,,Yes,Yes,Sort of,Yes,Not really,,,Sort of,,Not at all,Not at all,I am not experiencing viral symptoms,0 days,5 or more days,A lot less,Neither more nor less,Neither more nor less,Moderate,Not at all
headwearskirmishantidote@timestudy_com/2021-07-05/phone_promptresponse_clean_2021-07-05.csv,34,headwearskirmishantidote,Daily,TIME,RANDOM,22,23,2021-07-05,2021-07-05 22:42:00 CDT,GMT-05:00,1625542920153,Completed,2021-07-05,2021-07-05 23:57:40 CDT,1625547460188,2,set_2,23,9,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,Not at all,A little,A little,Not at all,Quite a bit,Very much so,Not at all,Not at all,A little,No,Did not have to work today,0,,,,Quite a bit,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-06/phone_promptresponse_clean_2021-07-06.csv,24,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-06,2021-07-06 23:30:00 CDT,GMT-05:00,1625632200177,Completed,2021-07-06,2021-07-06 23:32:46 CDT,1625632366583,1,set_4,23,9,Not at all,Moderately,Not at all,Moderately,Moderately,A little,A little,Not at all,A little,A little,A little,Moderately,A little,Moderately,No,Did not have to work today,0,,,,,,,,,,,,,,,,,Quite a bit,Probably will,,Sort of,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-07/phone_promptresponse_clean_2021-07-07.csv,20,headwearskirmishantidote,Daily,TIME,RANDOM,22,23,2021-07-07,2021-07-07 22:44:00 CDT,GMT-05:00,1625715840158,Completed,2021-07-07,2021-07-07 23:28:05 CDT,1625718485743,2,set_2,23,9,Not at all,Moderately,Not at all,Moderately,Quite a bit,Not at all,Not at all,A little,Not at all,Moderately,Quite a bit,A little,Not at all,Moderately,No,No,0,,,,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-08/phone_promptresponse_clean_2021-07-08.csv,24,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-08,2021-07-08 23:15:00 CDT,GMT-05:00,1625804100155,Completed,2021-07-08,2021-07-08 23:20:59 CDT,1625804459709,2,set_3,23,9,Not at all,Quite a bit,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Quite a bit,No,No,0,A little,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwearskirmishantidote@timestudy_com/2021-07-09/phone_promptresponse_clean_2021-07-09.csv,24,headwearskirmishantidote,Daily,TIME,RANDOM,23,0,2021-07-09,2021-07-09 23:37:00 CDT,GMT-05:00,1625891820153,Completed,2021-07-09,2021-07-09 23:38:04 CDT,1625891884131,1,set_1,25,9,Not at all,Moderately,Not at all,Moderately,Quite a bit,A little,A little,Not at all,A little,Moderately,Moderately,A little,A little,Moderately,No,No,0,,,,,,,Not at all,Quite a bit,Probably will,Yes,No,,,,,,,,,,,,,,,,,,,
