.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x34_affmot_eat,x35_int_eat,x36_goal_eat,x37_plan_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x30_affmot_sed,x31_int_sed,x32_plan_sed,x55_engage,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa
endlessroamerreconfirm@timestudy_com/2021-03-20/phone_promptresponse_clean_2021-03-20.csv,12,endlessroamerreconfirm,Daily,TIME,RANDOM,22,23,2021-03-20,2021-03-20 22:37:00 CDT,GMT-05:00,1616297820103,Completed,2021-03-20,2021-03-20 22:39:44 CDT,1616297984653,1,set_2,23,9,Not at all,Moderately,Not at all,Quite a bit,Quite a bit,Not at all,A little,Not at all,Not at all,Quite a bit,Quite a bit,A little,Not at all,Moderately,No,Did not have to work today,0,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
endlessroamerreconfirm@timestudy_com/2021-03-21/phone_promptresponse_clean_2021-03-21.csv,27,endlessroamerreconfirm,Daily,TIME,RANDOM,21,22,2021-03-21,2021-03-21 21:28:00 CDT,GMT-05:00,1616380080151,Completed,2021-03-21,2021-03-21 21:34:12 CDT,1616380452133,2,set_4,47,9,Not at all,A little,Not at all,Moderately,Moderately,A little,Not at all,A little,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,Yes,Yes,Sort of,Yes,No,Very much so,Definitely will,Yes,Yes,A little,A little,I am not experiencing viral symptoms,4 days,5 or more days,Neither more nor less,Neither more nor less,Neither more nor less,Very little,Moderate,,,,,,,,
endlessroamerreconfirm@timestudy_com/2021-03-22/phone_promptresponse_clean_2021-03-22.csv,20,endlessroamerreconfirm,Daily,TIME,RANDOM,20,21,2021-03-22,2021-03-22 20:31:00 CDT,GMT-05:00,1616463060108,Completed,2021-03-22,2021-03-22 20:37:45 CDT,1616463465275,2,set_4,23,9,Not at all,Moderately,A little,Moderately,A little,A little,A little,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,Very much so,Definitely will,,Yes,,,,,,,,,,,,,,,,,,
endlessroamerreconfirm@timestudy_com/2021-03-23/phone_promptresponse_clean_2021-03-23.csv,27,endlessroamerreconfirm,Daily,TIME,RANDOM,21,22,2021-03-23,2021-03-23 21:46:00 CDT,GMT-05:00,1616553960099,Completed,2021-03-23,2021-03-23 21:48:27 CDT,1616554107368,1,set_3,23,9,Not at all,Quite a bit,Not at all,Quite a bit,Moderately,Not at all,Not at all,Not at all,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will not,No,,,,,
endlessroamerreconfirm@timestudy_com/2021-03-24/phone_promptresponse_clean_2021-03-24.csv,21,endlessroamerreconfirm,Daily,TIME,RANDOM,20,21,2021-03-24,2021-03-24 20:47:00 CDT,GMT-05:00,1616636820128,Completed,2021-03-24,2021-03-24 20:48:37 CDT,1616636917852,1,set_4,23,9,Not at all,A little,Moderately,A little,Moderately,Not at all,A little,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Quite a bit,No,No,0,,,,,,,,,Quite a bit,Definitely will,,Sort of,,,,,,,,,,,,,,,,,,
endlessroamerreconfirm@timestudy_com/2021-03-25/phone_promptresponse_clean_2021-03-25.csv,21,endlessroamerreconfirm,Daily,BURST,RANDOM,20,21,2021-03-25,2021-03-25 20:46:00 CDT,GMT-05:00,1616723160106,Completed,2021-03-25,2021-03-25 20:47:21 CDT,1616723241851,1,set_3,24,9,A little,Moderately,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,A little,Might,Not really,Somewhat,,,,
endlessroamerreconfirm@timestudy_com/2021-03-26/phone_promptresponse_clean_2021-03-26.csv,23,endlessroamerreconfirm,Daily,BURST,RANDOM,22,23,2021-03-26,2021-03-26 22:49:00 CDT,GMT-05:00,1616816940102,Completed,2021-03-26,2021-03-26 22:50:30 CDT,1616817030203,1,set_3,23,9,A little,Quite a bit,A little,Quite a bit,A little,Not at all,A little,Not at all,A little,Very much so,Very much so,A little,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Definitely will,Yes,,,,,
endlessroamerreconfirm@timestudy_com/2021-03-28/phone_promptresponse_clean_2021-03-28.csv,1,endlessroamerreconfirm,Daily,BURST,RANDOM,22,23,2021-03-27,2021-03-27 22:15:00 CDT,GMT-05:00,1616901300099,NeverStarted,,,,,set_3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endlessroamerreconfirm@timestudy_com/2021-03-28/phone_promptresponse_clean_2021-03-28.csv,21,endlessroamerreconfirm,Daily,BURST,RANDOM,20,21,2021-03-28,2021-03-28 20:48:00 CDT,GMT-05:00,1616982480133,Completed,2021-03-28,2021-03-28 20:53:19 CDT,1616982799215,2,set_3,48,9,Not at all,Extremely,Not at all,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Very much so,Quite a bit,Not at all,Not at all,Quite a bit,No,Did not have to work today,0,,,,Yes,Yes,Sort of,No,Yes,,,Yes,,Moderately,Not at all,I am not experiencing viral symptoms,1 day,5 or more days,Neither more nor less,Neither more nor less,Neither more nor less,Very little,Very little,Quite a bit,Might,Sort of,A little bit,,,,
endlessroamerreconfirm@timestudy_com/2021-03-29/phone_promptresponse_clean_2021-03-29.csv,24,endlessroamerreconfirm,Daily,TIME,RANDOM,20,21,2021-03-29,2021-03-29 20:24:00 CDT,GMT-05:00,1617067440172,Completed,2021-03-29,2021-03-29 20:26:08 CDT,1617067568432,1,set_3,23,9,Not at all,Extremely,Not at all,Extremely,A little,A little,A little,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Sort of,,,,,
